case,photo,size_class,effort,default_ms,both_ms,paired_change_pct,paired_min_pct,paired_max_pct,slower_rounds,rounds,default_bytes,both_bytes,size_change_pct,default_quality,both_quality,quality_delta,background_cpu_before,background_cpu_after
unsplash--campus_interior--48mp-e4,campus_interior,48mp,4,1374.386354,1386.0359165,1.0816646512275652,-3.1862627331963433,4.665397287327777,15,20,4785228,4895718,2.3089808886849195,81.66163060424029,81.96597351411586,0.30434290987557233,475.3,497.90000000000003
unsplash--campus_interior--12mp-e4,campus_interior,12mp,4,296.6995415,317.566729,2.6480046693853954,-8.150140995426847,21.085999741874062,11,20,1638390,1670661,1.9696775493014407,83.18800081495505,83.52464603456365,0.3366452196085987,441.1,447.2
unsplash--alpine_lake--24mp-e7,alpine_lake,24mp,7,894.5711045,920.0817915,2.7548078511760554,-0.4427157427341455,9.157826456101791,19,20,2714938,2789930,2.7621993577753967,82.33171570615005,82.42041972039254,0.08870401424249508,445.0,466.7
unsplash--alpine_lake--24mp-e4,alpine_lake,24mp,4,593.39575,600.5454375,2.1264892076346964,-2.9931437542866424,9.083236556095597,16,20,2710510,2787565,2.8428229373807845,80.96086754275886,81.13490475617972,0.17403721342085987,459.1,459.8
unsplash--alpine_lake--48mp-e4,alpine_lake,48mp,4,1396.479417,1400.344083,0.0947427239208487,-4.255567175525443,3.1124993357079633,10,20,4855493,5010670,3.195906162360851,82.1986410927021,82.32127590446962,0.12263481176751156,432.3,530.7
unsplash--alpine_lake--12mp-e4,alpine_lake,12mp,4,292.639042,309.254271,6.528786561841349,-9.608547303063453,21.95985460858003,11,20,1489290,1528128,2.6078198336119796,80.84112545188692,80.8634095642297,0.022284112342774165,437.0,487.1
unsplash--alpine_lake--48mp-e7,alpine_lake,48mp,7,2066.326458,2078.5778335,0.7518892009367839,-1.0599053330005104,3.373874140162214,13,20,4733551,4885493,3.2098946435773046,83.10408073766654,83.37244330435647,0.2683625666899303,447.7,456.1
unsplash--alpine_lake--12mp-e7,alpine_lake,12mp,7,476.0373955,503.964604,7.18772616374479,-3.396705131350719,17.858741962036028,13,20,1527628,1566667,2.5555305349208135,82.30116839694647,82.5518487361765,0.25068033923002986,513.8,414.3
unsplash--forest_stream--12mp-e7,forest_stream,12mp,7,497.009875,532.3929795,7.458051827495038,-8.669894702686353,15.534940910337758,14,20,3395574,3446110,1.488290345019716,84.1082205360025,84.15837212734827,0.05015159134576663,481.3,423.5
unsplash--forest_stream--48mp-e7,forest_stream,48mp,7,2140.751209,2174.343271,1.9474761340126712,-1.4249907352177238,5.462909140809469,15,20,8285702,8479055,2.333574149782369,87.13930268269816,87.27456063711941,0.13525795442124888,444.90000000000003,477.2
unsplash--forest_stream--24mp-e7,forest_stream,24mp,7,997.3796465,1024.799959,1.7550520768653932,-0.6399652596144834,6.688968987978483,17,20,5335135,5435146,1.8745729958098423,85.68985591716533,85.78993072012156,0.10007480295622884,426.3,462.7
unsplash--forest_stream--24mp-e4,forest_stream,24mp,4,642.7853955,658.9977085,2.3253537076726616,-4.139306281965538,4.795724462943696,16,20,5433551,5533082,1.8317855119055704,85.74560035301535,85.84914804768115,0.10354769466580649,439.0,430.4
unsplash--alpine_lake--12mp-e3,alpine_lake,12mp,3,101.8621465,110.3311875,7.782451027465753,-13.201295986688798,33.52264018102793,14,20,1562488,1601594,2.5028032215287377,81.61347596005191,81.70013180214086,0.08665584208894472,451.9,427.2
unsplash--campus_interior--12mp-e7,campus_interior,12mp,7,464.083208,489.9842495,4.348258708584063,-4.9198208366525,17.207190140953287,11,20,1563641,1596008,2.069976420418751,83.35949624872461,83.67921536997059,0.31971912124598134,443.6,439.40000000000003
unsplash--campus_interior--48mp-e7,campus_interior,48mp,7,1961.980896,1997.208958,1.6557429081875963,-1.7441666823634683,15.35301464841723,18,20,4406055,4513685,2.4427747724438342,81.92301702354293,82.26151403984463,0.3384970163017016,444.8,444.2
unsplash--campus_interior--24mp-e7,campus_interior,24mp,7,994.368396,998.601229,0.36300838783289713,-4.72076062162714,13.981318427004519,11,20,2651967,2711214,2.234077573363469,82.93724606437912,83.2387582511224,0.30151218674328106,443.1,479.8
unsplash--campus_interior--24mp-e4,campus_interior,24mp,4,617.046,639.330021,3.437882276392701,-1.9489764079043792,8.812304848414643,18,20,2794950,2854001,2.112774826025521,82.59952154296514,82.84934026575313,0.24981872278799244,418.0,434.8
unsplash--forest_stream--12mp-e4,forest_stream,12mp,4,314.703229,338.5925,7.06566093824863,-9.380390584853803,25.721374177319877,11,20,3294199,3344530,1.5278676242691969,83.7419622908343,83.78015905456245,0.03819676372815195,450.4,542.5
unsplash--forest_stream--12mp-e3,forest_stream,12mp,3,123.2961045,134.217292,7.779797855347059,-9.852240457870598,31.45827094315361,16,20,3433054,3483851,1.479644654584522,84.39551507076081,84.45321658334232,0.05770151258151657,545.2,469.9
unsplash--forest_stream--48mp-e4,forest_stream,48mp,4,1475.257604,1499.9741875,1.0632228498927532,-0.8516652323839025,4.449786613244133,15,20,8668942,8864305,2.2535968057001643,87.22696861489284,87.33599243819025,0.1090238232974059,538.5,566.9
unsplash--campus_interior--12mp-e3,campus_interior,12mp,3,111.0209795,118.8858545,6.163864071825698,-11.178732433697325,38.012993428659534,13,20,1711364,1744137,1.9150221694508085,83.78650506536015,84.14513264715467,0.35862758179452214,534.6999999999999,483.1
