stratum,effort,reference,variant,images,pchip_median_percent,linear_median_percent,maximum_absolute_difference_pp
clic2024_test,3,default,both,6,-0.6985888535908545,-0.7032816601231122,0.21212531987590566
clic2024_test,3,default,quantize,6,-1.3829890090753665,-1.4513210706033062,0.16133959010573218
clic2024_test,3,default,smooth,6,-0.9950428931002949,-1.0238517178458575,0.08328496428816035
clic2024_test,3,default,weighted,6,-0.996235788284843,-0.9990293487287145,0.023430314398223295
clic2024_test,3,weighted,both,6,-0.024692983092185095,-0.01079964019869789,0.24211650452893063
clic2024_test,3,weighted,default,6,1.0074476033565465,1.0103208994387094,0.024833844477620826
clic2024_test,3,weighted,quantize,6,-0.49462671664313895,-0.5447806050231787,0.18936258495454306
clic2024_test,3,weighted,smooth,6,0.08338850765708442,0.04107831040010123,0.10959501051522058
clic2024_test,4,default,both,6,-0.49712627958330663,-0.5766736377939459,0.17422863012941825
clic2024_test,4,default,quantize,6,-1.1463769737531173,-1.1916350749515794,0.14397680242880817
clic2024_test,4,default,smooth,6,-0.8817478301470755,-0.9705501777744969,0.17345885033747221
clic2024_test,4,default,weighted,6,-1.0453182218783303,-1.0470373627950775,0.00593994874699888
clic2024_test,4,weighted,both,6,0.8853646285229418,0.7937459438466676,0.1862487371008762
clic2024_test,4,weighted,default,6,1.0575467782079129,1.0593236648152924,0.006344885786031096
clic2024_test,4,weighted,quantize,6,0.004209196546943961,-0.07211702655496821,0.1548755389532943
clic2024_test,4,weighted,smooth,6,0.07543336779591932,-0.01144313331890835,0.175989876523262
clic2024_test,7,default,both,6,-1.2173347025770003,-1.3107367082474066,0.19074744004316901
clic2024_test,7,default,quantize,6,-1.7160150832743555,-1.836691183740784,0.190461483906037
clic2024_test,7,default,smooth,6,-1.2550537806899935,-1.3485509182364264,0.2046700645974715
clic2024_test,7,default,weighted,6,-1.132561584793886,-1.1333843085115836,0.012484153888673966
clic2024_test,7,weighted,both,6,0.19242676492806698,0.09958970676841239,0.18507395654656
clic2024_test,7,weighted,default,6,1.1464199760484994,1.1473250356129754,0.013442402005036325
clic2024_test,7,weighted,quantize,6,-0.5862353172672112,-0.7070884189738681,0.199845805692217
clic2024_test,7,weighted,smooth,6,0.053318564010775185,0.07936765443317288,0.21589340663188278
compact,3,default,both,4,2.967242738248271,2.8474937447735718,3.353762497373882
compact,3,default,quantize,4,3.1122235177272244,2.9919877292400034,0.6835992543718081
compact,3,default,smooth,4,0.6656564435029442,0.6665033327690258,0.9705286631171965
compact,3,default,weighted,4,0.8871543114972905,0.8985942554811537,0.029406810614473367
compact,3,weighted,both,4,2.1287419357126898,1.774564377860968,3.180716652305523
compact,3,weighted,default,4,-0.8723961257174364,-0.8833380036952736,0.028405628116349613
compact,3,weighted,quantize,4,1.2827030194460904,0.9504294455833601,0.655151803018627
compact,3,weighted,smooth,4,-0.014793659230985114,-0.017140747268487466,0.9271400360328004
compact,4,default,both,4,3.574836119356908,3.4313099487814536,0.3419355865620124
compact,4,default,quantize,4,4.62164362039146,4.353477979061513,0.3419749867871964
compact,4,default,smooth,4,0.46534479413330193,0.40957657863645275,0.15389406898672497
compact,4,default,weighted,4,0.934397640239974,0.9195863333874749,0.48279191436331637
compact,4,weighted,both,4,2.2162140406288575,2.320754945148753,0.5545581646019082
compact,4,weighted,default,4,-0.9178487191060208,-0.9035018224443463,0.40883045511038674
compact,4,weighted,quantize,4,2.0236302453653803,2.1920180373690163,0.6822918710566606
compact,4,weighted,smooth,4,-0.0585703186473684,-0.03090050546798545,0.30300471022748443
compact,7,default,both,4,5.86995819513827,5.780912779367771,4.090059627108509
compact,7,default,quantize,4,4.362141606058458,4.203278497339027,1.0920300432366226
compact,7,default,smooth,4,0.5161921441839713,0.4708396008304138,0.6160220082844692
compact,7,default,weighted,4,2.6679500317166354,2.528312170353028,0.27480410301339386
compact,7,weighted,both,4,2.325175387043512,2.359145498175862,3.555951112100118
compact,7,weighted,default,4,-2.5416180016820324,-2.4147944924638702,0.2491916975821482
compact,7,weighted,quantize,4,1.4900273694075685,1.3894878930844496,0.7385907191840655
compact,7,weighted,smooth,4,0.03214936182539703,0.014372914270639855,0.31604176463399725
kodak,3,default,both,6,0.3484389435432879,0.3874156270490148,0.1613603748976472
kodak,3,default,quantize,6,0.16990004879170048,0.15512473894232967,0.17454263178317564
kodak,3,default,smooth,6,-0.24308117103556437,-0.23574409309083627,0.01715399598939646
kodak,3,default,weighted,6,-0.30430806462240323,-0.30318395967449413,0.005643935422342539
kodak,3,weighted,both,6,0.5400505020744314,0.5168321114128467,0.16215292610317933
kodak,3,weighted,default,6,0.3052371072464882,0.3041060928870817,0.005803271183305148
kodak,3,weighted,quantize,6,0.10455140069231564,0.08966713552159536,0.17536789137464237
kodak,3,weighted,smooth,6,0.10344775699838166,0.09897490913496793,0.017584599785661348
