image,stratum,effort,reference,variant,quality_low,quality_high,pchip_percent,linear_percent,difference_percentage_points
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,default,weighted,76.48716339661104,91.2838726147456,-2.878652442413394,-2.855222128015171,0.023430314398223295
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,default,quantize,76.48716339661104,91.2838726147456,-6.25295004900674,-6.414289639112472,-0.16133959010573218
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,default,smooth,76.48716339661104,91.2838726147456,-3.912647906853376,-3.9959328711415365,-0.08328496428816035
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,default,both,76.48716339661104,91.2838726147456,-4.338121558817356,-4.550246878693262,-0.21212531987590566
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,weighted,default,76.48716339661104,91.2838726147456,2.963974980584512,2.9391411361068913,-0.024833844477620826
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,weighted,quantize,76.48716339661104,91.2838726147456,-3.4743109434232347,-3.6636735283777777,-0.18936258495454306
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,weighted,smooth,76.48716339661104,91.2838726147456,-1.0646428313063623,-1.1742378418215829,-0.10959501051522058
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,weighted,both,76.48716339661104,91.2838726147456,-1.502727415863533,-1.7448439203924637,-0.24211650452893063
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,default,weighted,72.41482341358389,91.21910454118941,-3.2466271457929157,-3.240687197045917,0.00593994874699888
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,default,quantize,72.41482341358389,91.21910454118941,-4.227916541520369,-4.371893343949178,-0.14397680242880817
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,default,smooth,72.41482341358389,91.21910454118941,-3.787791934087322,-3.8366968331753166,-0.04890489908799456
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,default,both,72.41482341358389,91.21910454118941,-2.5231003767129265,-2.697329006842345,-0.17422863012941825
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,weighted,default,72.41482341358389,91.21910454118941,3.355569992050922,3.349225106264891,-0.006344885786031096
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,weighted,quantize,72.41482341358389,91.21910454118941,-1.0142172482256624,-1.1690927871789567,-0.1548755389532943
