image,stratum,effort,reference,variant,byte_change_percent,quality_delta_from_target,encode_median_change_percent,encode_q25_change_percent,encode_q75_change_percent,slower_rounds,rounds
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,default,both,-6.069680138745581,-0.01062461826873573,28.102247741750965,24.521023261720877,39.249373278825786,20,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,default,quantize,-7.981383504204076,-0.03252098453926067,26.188029959837866,24.53478084427907,34.288035141908345,20,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,default,smooth,-6.256723233298944,0.008684855946768266,3.057537789577802,-9.761187712236785,8.728724889069817,11,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,default,weighted,-2.5154222739347087,0.0,1.7053556760514343,-6.026893780277942,9.640556255127098,11,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,weighted,both,-3.6459693909722257,-0.01062461826873573,27.352911095968537,20.721370543295414,36.62217255525444,20,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,weighted,default,2.5803284300036866,0.0,-1.6704144461649362,-8.791883757118136,6.426804220582838,9,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,weighted,quantize,-5.6070009818669835,-0.03252098453926067,27.759182502254554,18.74716916959871,32.13556250257845,20,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,weighted,smooth,-3.837838811670702,0.008684855946768266,-1.1015407305571046,-11.82628991733371,11.317862803381473,9,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,default,both,-1.3263844412611636,0.02038964682266453,25.514248691368024,24.23655101700217,27.032490843780586,20,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,default,quantize,-3.735681354838394,0.04929885569885073,24.711378189070523,23.344638355325653,29.28718198680418,20,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,default,smooth,-2.913352335228636,0.0026361029917438827,2.7801579477737537,1.6129989120922117,5.61821676153651,17,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,default,weighted,-2.8385507062153814,0.0,2.271006061158154,0.6850378479229979,6.341186185181691,17,20
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,weighted,both,1.556343875009425,0.02038964682266453,22.495742628214145,20.561100072652817,24.124879518456943,20,20
