image,stratum,effort,variant,distance,bytes,quality
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,smooth,2,97979,71.26215193490792
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,weighted,2,98180,70.90078789041031
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,both,0.5,380848,91.55502948197957
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,default,0.5,378261,91.2328383305909
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,quantize,0.5,380949,91.74413087484409
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,smooth,0.5,372659,91.24899721247718
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,weighted,0.5,371839,91.2328383305909
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,both,0.699999988079,278883,89.07250780545792
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,default,0.699999988079,276043,88.6421487582534
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,quantize,0.699999988079,279470,89.3554507326486
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,smooth,0.699999988079,269777,88.67647195563204
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,weighted,0.699999988079,270389,88.6421487582534
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,both,1,196080,85.13274564242082
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,default,1,195462,84.84554275642694
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,quantize,1,195652,85.40269679935821
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,smooth,1,189316,84.90623111651708
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,weighted,1,189327,84.84554275642694
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,both,1.39999997616,132702,79.88112888722023
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,default,1.39999997616,132739,79.17967337107972
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,quantize,1.39999997616,132444,80.05989398859974
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,smooth,1.39999997616,126355,79.22835956230828
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,weighted,1.39999997616,127114,79.17967337107972
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,both,2,85732,72.88130088193421
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,default,2,86615,71.22604258003017
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,quantize,2,85425,73.02681664760935
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,smooth,2,80897,71.94462851962088
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,weighted,2,81352,71.22604258003017
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,both,0.5,1667232,87.66730079907616
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,default,0.5,1653797,87.66641673720748
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,quantize,0.5,1667233,87.66745920944307
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,smooth,0.5,1652962,87.66574210636848
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,weighted,0.5,1652963,87.66641673720748
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,both,0.699999988079,1426524,84.87121806356242
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,default,0.699999988079,1413633,84.86012586731182
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,quantize,0.699999988079,1426525,84.86907178171595
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,smooth,0.699999988079,1413082,84.86140826610851
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,weighted,0.699999988079,1413083,84.86012586731182
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,both,1,1179568,80.74534244275674
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,default,1,1167106,80.70789638260759
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,quantize,1,1179569,80.74104375571677
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,smooth,1,1166966,80.70571759052099
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,weighted,1,1166967,80.70789638260759
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,both,1.39999997616,955910,75.40736892078263
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,default,1.39999997616,943892,75.29042872266032
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,quantize,1.39999997616,955911,75.40875490132427
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,smooth,1.39999997616,944015,75.2910952493551
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,weighted,1.39999997616,944016,75.29042872266032
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,3,both,2,741733,68.28024549452462
