image,stratum,effort,reference,variant,bd_rate_percent,quality_low,quality_high
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,weighted,smooth,0.0035316612345342047,66.95740321622321,87.98124846000424
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,4,weighted,both,1.0229240408181908,66.95740321622321,87.98124846000424
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,default,weighted,-0.0038300971663209485,66.42196143703616,88.07870336241969
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,default,quantize,1.0168494612194288,66.42196143703616,88.07870336241969
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,default,smooth,0.010165085860551695,66.42196143703616,88.07870336241969
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,default,both,1.0268349179496343,66.42196143703616,88.07870336241969
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,weighted,default,0.003830243868382814,66.42196143703616,88.07870336241969
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,weighted,quantize,1.0207186529019503,66.42196143703616,88.07870336241969
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,weighted,smooth,0.0139957190765124,66.42196143703616,88.07870336241969
clic2024_test--1e2f9d41529197f10d32bfa68a1e0bcc,clic2024_test,7,weighted,both,1.0307044920995,66.42196143703616,88.07870336241969
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,default,weighted,-0.41034421641725016,60.52162303119531,87.61131961529367
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,default,quantize,0.7578074121772679,60.52162303119531,87.61131961529367
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,default,smooth,-0.15751464597040074,60.52162303119531,87.61131961529367
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,default,both,1.1022723736421494,60.52162303119531,87.61131961529367
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,weighted,default,0.41203497811957995,60.52162303119531,87.61131961529367
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,weighted,quantize,1.172964821901801,60.52162303119531,87.61131961529367
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,weighted,smooth,0.25387131671212,60.52162303119531,87.61131961529367
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,3,weighted,both,1.518849099495284,60.52162303119531,87.61131961529367
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,default,weighted,-0.4002105065288524,61.455077700208186,88.37979168381824
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,default,quantize,0.6885331651603177,61.455077700208186,88.37979168381824
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,default,smooth,-0.14108141573141622,61.455077700208186,88.37979168381824
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,default,both,0.956796587381651,61.455077700208186,88.37979168381824
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,weighted,default,0.40181862689085956,61.455077700208186,88.37979168381824
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,weighted,quantize,1.0931184465611126,61.455077700208186,88.37979168381824
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,weighted,smooth,0.2601703197519532,61.455077700208186,88.37979168381824
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,4,weighted,both,1.362459801182066,61.455077700208186,88.37979168381824
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,default,weighted,-0.41373293616269247,62.769670390118655,88.64792854713802
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,default,quantize,0.4448781284543334,62.769670390118655,88.64792854713802
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,default,smooth,0.028008053073095503,62.769670390118655,88.64792854713802
clic2024_test--4a18abf66d65ad1a95ce455c8b6cd8de,clic2024_test,7,default,both,0.9873156816113069,62.769670390118655,88.64792854713802
