effort,images,maximum_percent,median_percent,minimum_percent,reference,stratum,variant
3,6,1.1022723736421494,-0.6985888535908545,-5.795159754577292,default,clic2024_test,both
3,6,0.9437232333513654,-1.3829890090753665,-8.527827796511724,default,clic2024_test,quantize
3,6,0.001328145767715225,-0.9950428931002949,-3.912647906853376,default,clic2024_test,smooth
3,6,-0.0012665553793325506,-0.996235788284843,-3.8576455088847856,default,clic2024_test,weighted
3,6,1.6023120174178753,-0.024692983092185095,-2.0152556653598057,weighted,clic2024_test,both
3,6,4.0124308680637535,1.0074476033565465,0.0012665714211610181,weighted,clic2024_test,default
3,6,1.172964821901801,-0.49462671664313895,-4.857570123330528,weighted,clic2024_test,quantize
3,6,0.25387131671212,0.08338850765708442,-1.0646428313063623,weighted,clic2024_test,smooth
4,6,1.0207599714261688,-0.49712627958330663,-5.212167837495977,default,clic2024_test,both
4,6,1.0204715781054978,-1.1463769737531173,-7.551663943932492,default,clic2024_test,quantize
4,6,0.0013894288252375064,-0.8817478301470755,-4.099325502427864,default,clic2024_test,smooth
4,6,-0.0021421567555769787,-1.0453182218783303,-4.016055912953728,default,clic2024_test,weighted
4,6,1.7767777607282869,0.8853646285229418,-1.2461583402506506,weighted,clic2024_test,both
4,6,4.184091361479824,1.0575467782079129,0.002142202644915655,weighted,clic2024_test,default
4,6,1.2586364483934105,0.004209196546943961,-3.6835411011787333,weighted,clic2024_test,quantize
4,6,0.2601703197519532,0.07543336779591932,-0.5593239515379592,weighted,clic2024_test,smooth
7,6,1.0268349179496343,-1.2173347025770003,-6.988071579942094,default,clic2024_test,both
7,6,1.0168494612194288,-1.7160150832743555,-10.509150947857888,default,clic2024_test,quantize
7,6,0.028008053073095503,-1.2550537806899935,-4.6265975730478655,default,clic2024_test,smooth
7,6,-0.0038300971663209485,-1.132561584793886,-4.6061140777548495,default,clic2024_test,weighted
7,6,1.4068692994345213,0.19242676492806698,-2.4969708269655357,weighted,clic2024_test,both
7,6,4.828521275995885,1.1464199760484994,0.003830243868382814,weighted,clic2024_test,default
7,6,1.0207186529019503,-0.5862353172672112,-6.188066261305844,weighted,clic2024_test,quantize
7,6,0.443576210114012,0.053318564010775185,-1.0403777191450228,weighted,clic2024_test,smooth
3,4,11.599685475816415,2.967242738248271,0.573645082216556,default,compact,both
3,4,7.17089260007004,3.1122235177272244,0.5755430050056257,default,compact,quantize
3,4,15.032295793760914,0.6656564435029442,-0.12203881141981444,default,compact,smooth
3,4,5.731339852813872,0.8871543114972905,-0.1072121057710074,default,compact,weighted
3,4,5.550242370116306,2.1287419357126898,0.5314463794459662,weighted,compact,both
3,4,0.10732717349377459,-0.8723961257174364,-5.420663221323343,weighted,compact,default
3,4,3.3388895714591413,1.2827030194460904,0.533343505904351,weighted,compact,quantize
3,4,8.796782443024638,-0.014793659230985114,-0.4209525471980667,weighted,compact,smooth
4,4,11.03142955674003,3.574836119356908,0.4991916651805405,default,compact,both
4,4,10.59450529488506,4.62164362039146,0.6138766575882402,default,compact,quantize
4,4,8.831429631784452,0.46534479413330193,-0.17403789595377558,default,compact,smooth
4,4,8.911340486502532,0.934397640239974,-0.15799751217477123,default,compact,weighted
4,4,2.9362928309818166,2.2162140406288575,0.4658387895001568,weighted,compact,both
4,4,0.15824753935002206,-0.9178487191060208,-8.182197048255889,weighted,compact,default
4,4,4.976476897277852,2.0236302453653803,0.5804857211609907,weighted,compact,quantize
4,4,-0.0160657672916369,-0.0585703186473684,-0.8782026537111073,weighted,compact,smooth
7,4,38.02433433256513,5.86995819513827,0.7877849090699922,default,compact,both
7,4,21.459284244844284,4.362141606058458,0.712531083961955,default,compact,quantize
7,4,8.887616976070596,0.5161921441839713,-0.1196169144294254,default,compact,smooth
7,4,7.040666843699822,2.6679500317166354,-0.10430922649735722,default,compact,weighted
7,4,31.263082345109865,2.325175387043512,0.6016884898462732,weighted,compact,both
7,4,0.1044181442559535,-2.5416180016820324,-6.577562576268854,weighted,compact,default
7,4,15.509486834362649,1.4900273694075685,-0.6193873239798291,weighted,compact,quantize
7,4,3.5536545248202565,0.03214936182539703,-5.860422790260129,weighted,compact,smooth
3,6,0.9171110858547087,0.3484389435432879,-0.9226232226657787,default,kodak,both
3,6,0.8577771473266071,0.16990004879170048,-1.371778088486925,default,kodak,quantize
3,6,0.43355752140766624,-0.24308117103556437,-1.1866025173089163,default,kodak,smooth
3,6,0.43081079413957063,-0.30430806462240323,-1.3851864714051845,default,kodak,weighted
3,6,1.2294599201654555,0.5400505020744314,0.12566002293874168,weighted,kodak,both
3,6,1.4046434017781002,0.3052371072464882,-0.4289627761968738,weighted,kodak,default
3,6,1.1085974253101172,0.10455140069231564,-0.013236742944124514,weighted,kodak,quantize
3,6,0.20137335050447125,0.10344775699838166,-0.0008617333815088359,weighted,kodak,smooth
4,6,0.9929770117096143,0.43297104663004526,-0.746506313864406,default,kodak,both
4,6,0.6237744714938465,0.11735064721560715,-1.6330992206729396,default,kodak,quantize
