image,stratum,effort,variant,distance,target_quality,quality,bytes,byte_change_percent,encode_ms,paired_encode_change_percent,decode_ms,paired_decode_change_percent
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,both,1.08440721035,85.58844750898467,85.57782289071594,213931,-6.069680138745581,30.492354,28.102247741750965,34.1735,14.482442745181757
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,default,1,85.58844750898467,85.58844750898467,227755,0.0,23.6716875,0.0,,
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,quantize,1.11034703255,85.58844750898467,85.55592652444541,209577,-7.981383504204076,29.7630625,26.188029959837866,34.194479,14.525645890920092
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,smooth,1.04456377029,85.58844750898467,85.59713236493144,213505,-6.256723233298944,22.4271875,3.057537789577802,34.912667,15.86578803375589
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,3,weighted,1,85.58844750898467,85.58844750898467,222026,-2.5154222739347087,23.639625,1.7053556760514343,31.337625,3.9111592813767526
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,both,1.01965916157,84.38421749014205,84.40460713696471,201828,-1.3263844412611636,56.1213955,25.514248691368024,36.022625,4.271630372489277
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,default,1,84.38421749014205,84.38421749014205,204541,0.0,44.837271,0.0,,
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,quantize,1.04816424847,84.38421749014205,84.4335163458409,196900,-3.735681354838394,55.7838125,24.711378189070523,34.458417,3.1419373093237724
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,smooth,1,84.38421749014205,84.3868535931338,198582,-2.913352335228636,46.0225,2.7801579477737537,35.016646,4.766214728813045
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,4,weighted,1,84.38421749014205,84.38421749014205,198735,-2.8385507062153814,46.083813,2.271006061158154,35.2784165,3.9105267771429197
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,both,1.01953518391,84.84554275642694,84.86585667305818,191819,-1.863789381056169,93.118646,22.46188552136008,36.411083,3.2787690937343683
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,default,1,84.84554275642694,84.84554275642694,195462,0.0,75.651,0.0,,
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,quantize,1.03680825233,84.84554275642694,84.86562861573393,187438,-4.105145757231588,92.350875,22.12889848644537,36.273458,3.3142400129204885
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,smooth,1.00066506863,84.84554275642694,84.81794252200925,188905,-3.354616242543307,77.270146,2.4841603405986845,36.377771,3.3900329637394977
clic2024_test--097cb426910ba8ce2525dd8bb7fb1777,clic2024_test,7,weighted,1,84.84554275642694,84.84554275642694,189327,-3.1387175000767376,78.2505415,3.489958359860834,36.3361245,2.8521510772515413
kodak--01,kodak,3,both,1.03085279465,85.19936808844301,85.15846894543971,121602,-0.1920614596670922,9.319625,18.430120935925707,6.466729,2.3159526581057577
kodak--01,kodak,3,default,1,85.19936808844301,85.19936808844301,121836,0.0,8.0139165,0.0,,
kodak--01,kodak,3,quantize,1.02809047699,85.19936808844301,85.21780118309643,121772,-0.05252962999441335,9.4800835,17.985464656377935,6.483854,1.2823847720604853
kodak--01,kodak,3,smooth,1,85.19936808844301,85.2246542176546,122319,0.3964345513641332,8.082229,2.4795222927457505,7.0451455,3.1240725837283545
kodak--01,kodak,3,weighted,1,85.19936808844301,85.19936808844301,122320,0.3972553268327905,7.95975,-2.157004172410204,6.452417,3.0461170769207513
kodak--01,kodak,4,both,1.01385140419,85.17228447370314,85.14542334014119,120356,0.8124905767845414,13.7783335,23.400626451591265,6.6394795,1.7411353370870408
kodak--01,kodak,4,default,1,85.17228447370314,85.17228447370314,119386,0.0,11.1893335,0.0,,
kodak--01,kodak,4,quantize,1.01411044598,85.17228447370314,85.1502709256155,120371,0.8250548640544197,13.838104,22.385815891167482,6.394083,1.787023654917741
kodak--01,kodak,4,smooth,1.00148952007,85.17228447370314,85.1999651495116,119740,0.2965171795688004,11.2737295,1.481150147276722,6.4968955,2.1959516802836365
kodak--01,kodak,4,weighted,1,85.17228447370314,85.17228447370314,119850,0.38865528621445655,11.2703125,0.978466338025763,6.423438,2.223234597691337
kodak--01,kodak,7,both,1.00762546062,85.24625336083405,85.28725578018768,120232,1.2880887593405443,23.6198545,21.82560578933499,6.439396,1.7459037175058256
kodak--01,kodak,7,default,1,85.24625336083405,85.24625336083405,118703,0.0,19.4395205,0.0,,
kodak--01,kodak,7,quantize,1.01047444344,85.24625336083405,85.20508546656275,120010,1.1010673698221618,23.528583,21.02066582815163,6.4583125,2.4490325940089708
kodak--01,kodak,7,smooth,1,85.24625336083405,85.2439377520314,119213,0.4296437326773539,19.807042,2.340664707555984,6.5616665,3.053493491159598
kodak--01,kodak,7,weighted,1,85.24625336083405,85.24625336083405,119166,0.39004911417570565,19.6365625,0.8747487059427961,6.433,2.293275587356325
imazen26-1029-planter-4k,photo_4k,3,both,1.00862503052,83.6810316824231,83.65381059339015,2342095,0.04690309299841822,76.552125,14.039739226050308,129.495396,3.1362267812517164
imazen26-1029-planter-4k,photo_4k,3,default,1,83.6810316824231,83.6810316824231,2340997,0.0,65.9366875,0.0,,
imazen26-1029-planter-4k,photo_4k,3,quantize,1.01600003242,83.6810316824231,83.70011336032752,2332448,-0.3651862860140409,75.834979,12.431708459670388,128.647479,1.6461700128420187
imazen26-1029-planter-4k,photo_4k,3,smooth,1,83.6810316824231,83.65979694002544,2326797,-0.6065791626388206,68.7765,4.86851552535712,129.1168545,0.3007668549970033
imazen26-1029-planter-4k,photo_4k,3,weighted,1,83.6810316824231,83.6810316824231,2326798,-0.6065364457963796,67.433396,-0.33615538164104564,129.15475,2.1304421786378924
imazen26-1029-planter-4k,photo_4k,4,both,1.01600003242,83.0062112037917,82.99861182127597,2250502,-0.41669635062141497,137.506646,12.958047110790938,128.0446665,1.846615292657905
imazen26-1029-planter-4k,photo_4k,4,default,1,83.0062112037917,83.0062112037917,2259919,0.0,121.278104,0.0,,
imazen26-1029-planter-4k,photo_4k,4,quantize,1.0195119381,83.0062112037917,83.03638039863577,2245229,-0.6500232972951658,138.695083,13.639367548733361,128.4926875,2.6024837979181648
imazen26-1029-planter-4k,photo_4k,4,smooth,0.997338593006,83.0062112037917,83.02290922332661,2249774,-0.4489098945581693,125.8764795,3.984795030225552,129.4887085,2.879651326093402
imazen26-1029-planter-4k,photo_4k,4,weighted,1,83.0062112037917,83.0062112037917,2245785,-0.6254206456072109,125.243771,3.159686931768668,128.176854,1.330882834509639
imazen26-1029-planter-4k,photo_4k,7,both,1.01046824455,83.08498005854139,83.12666197403875,2241314,-0.07819647019171594,218.3608335,9.3442665488503,131.2285,2.8481507811076945
imazen26-1029-planter-4k,photo_4k,7,default,1,83.08498005854139,83.08498005854139,2243068,0.0,206.3920625,0.0,,
imazen26-1029-planter-4k,photo_4k,7,quantize,1.01662421227,83.08498005854139,83.07043282999747,2233390,-0.4314626217305939,219.5670835,7.46266319642821,129.861104,1.8971058935396856
imazen26-1029-planter-4k,photo_4k,7,smooth,1,83.08498005854139,83.1255080261115,2228042,-0.6698860667621265,207.336688,0.5312014630361794,130.3297915,2.3180059141419074
imazen26-1029-planter-4k,photo_4k,7,weighted,1,83.08498005854139,83.08498005854139,2228830,-0.6347556115106623,205.769625,2.857605502698668,130.1393955,2.5123965790426084
edge,compact,4,both,0.681493163109,95.48368613611642,95.53341450698977,787,21.07692307692308,4.71575,22.495936964599572,0.700167,3.582039888210309
edge,compact,4,default,1,95.48368613611642,95.48368613611642,650,0.0,3.850291,0.0,,
edge,compact,4,quantize,0.696058273315,95.48368613611642,95.53332131804106,804,23.6923076923077,4.763604,22.877063966243227,0.7234795,3.4662614781145074
edge,compact,4,smooth,1,95.48368613611642,95.48368613611642,710,9.23076923076922,3.932313,1.6502069763316252,0.6513335,3.1376971525572728
edge,compact,4,weighted,1,95.48368613611642,95.48368613611642,711,9.38461538461539,3.8556875,1.2311719629757967,0.6699165,3.993297664818174
