image,effort,base_ordinary_ms,base_dc_ms,base_ac_ms,base_profiled_ms,base_codestream_encoding_ms,base_quantization_pipeline_ms,base_codestream_entropy_optimization_ms,base_codestream_section_writing_ms,cpu_ordinary_ms,cpu_dc_ms,cpu_ac_ms,cpu_profiled_ms,cpu_codestream_encoding_ms,cpu_quantization_pipeline_ms,cpu_codestream_entropy_optimization_ms,cpu_codestream_section_writing_ms,release_ordinary_ms,release_dc_ms,release_ac_ms,release_profiled_ms,release_codestream_encoding_ms,release_quantization_pipeline_ms,release_codestream_entropy_optimization_ms,release_codestream_section_writing_ms,joined1_ordinary_ms,joined1_dc_ms,joined1_ac_ms,joined1_profiled_ms,joined1_codestream_encoding_ms,joined1_quantization_pipeline_ms,joined1_codestream_entropy_optimization_ms,joined1_codestream_section_writing_ms,dc_saving_percent_median,dc_saving_percent_minimum,dc_saving_percent_maximum,cleanup_saving_percent_median,cleanup_saving_percent_minimum,cleanup_saving_percent_maximum,combined_saving_percent_median,combined_saving_percent_minimum,combined_saving_percent_maximum,gpu_over_cpu_saving_percent_median,gpu_over_cpu_saving_percent_minimum,gpu_over_cpu_saving_percent_maximum
kodak/01,1,7.0983125000000005,0.310042,0.77253125,7.651979,3.871,2.9806875,1.5319165,1.12275,6.8006665,0.31833325,0.79790625,7.5407709999999994,4.022520500000001,2.6847915,1.574771,1.1752704999999999,6.6687505,0.31141675,0.72254175,6.754479,3.8607085,1.9076455,1.591125,1.1469375,6.4194375,0.3248125,0.5238335,6.2644585,3.62125,2.0262915,1.5368955,1.1129585,4.193193804865592,-55.299503791640106,22.901305240013436,10.441381002876692,-8.033136909462769,20.436165221229952,9.936247093518325,-5.025054842361509,17.664120873799227,1.3541936785086528,-8.12995627891613,25.502953434410035
kodak/01,7,16.153354,0.30650025,0.954531,17.0769375,4.3003125,11.853604,1.812979,1.0941245,16.0821875,0.31165625,1.019708,17.039542,4.2859795,11.861896,1.761167,1.0454585,16.071125,0.31248925,1.030302,17.073770500000002,4.2514585,11.914854,1.774437,1.093708,15.568187,0.32483325,0.559146,16.5636045,3.8490415000000002,11.831916499999998,1.764271,1.0836875,-0.8460564908067791,-1.3674682192748033,1.0584445113193564,0.06878728406817247,-1.6243738452667023,2.801206780425658,3.702768317315075,1.0499584173045529,4.379830715947941,3.129451111854331,1.322819003630138,5.476252750221944
kodak/01,8,26.921063,0.32063575,0.9531665,28.4796455,11.7687295,15.8541875,9.106687,1.0765625,26.822896,0.31807275,1.024875,28.7309165,11.680791500000002,15.924479000000002,9.180646,1.065542,26.897083,0.316156,1.02961475,28.811436999999998,11.854958499999999,15.95625,9.199541499999999,1.0744995,26.5801455,0.34894825,0.6082085,28.1925415,11.387604,15.7254165,9.145166499999998,1.069,-0.2111207813355831,-1.6388367954765837,1.0325725250893703,-0.8679618338005124,-2.170477180948982,2.9861548392645987,1.5495951998626523,0.14841608414648544,2.812946139591921,1.4618220868039877,0.4827496233631434,4.228237083497555
clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,18.734417,2.52602075,1.85877075,19.2319995,10.0244785,7.019979,2.4706455,2.4318745,18.818416,2.4875735,1.987698,18.887999999999998,10.101333,6.847042,2.4735,2.432458,18.7154375,2.491219,2.026521,18.545875000000002,10.04175,6.949521,2.4610625,2.421771,17.8035205,2.4968335,1.619938,18.2335,9.144104500000001,6.833667,2.4406665,2.352271,-0.4483673017420253,-7.630923567259318,7.5043684759516065,2.0078912740894794,-18.775273115441806,4.869184645699242,6.350410058727663,-8.806457692337366,13.819963535142799,4.872539046976588,-11.882970400787052,23.59420400082768
clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,61.748478500000004,2.17681225,2.2336875,62.8038335,10.6832085,49.9122295,3.4719375,2.068854,61.8205205,2.210083,2.24720825,63.0021665,10.6656455,50.095375000000004,3.4275,2.110458,61.744375,2.19355225,2.3466045,63.280457999999996,10.69525,50.102646,3.517354,2.0859165,61.038458000000006,2.17914575,2.05849975,62.226188,10.0354375,49.987541500000006,3.4467495,2.082042,0.03533903735101207,-1.2892291744919238,0.39801790419825567,-0.0061059809714381075,-0.4014645913568371,0.8899449991464747,1.4982307371342096,-0.04042042914464972,1.7921910877729985,1.397440292015384,-0.04706906499580832,2.6292574792073475
clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,8,88.98804200000001,2.21690625,2.4435,90.69108349999999,22.491521,66.041271,14.8610415,2.05525,88.7166045,2.2254795,2.3648125,90.548354,22.212083,66.08752100000001,14.740292,2.0476875,88.487604,2.2286665,2.29545825,90.0963335,21.8230625,65.960042,14.6613535,2.0534165,87.7334165,2.24447925,2.0296975,89.62308300000001,21.3346255,66.09147949999999,14.6978545,2.0450625000000002,0.3407502627555181,0.1302467785232575,0.6778531104827623,0.20459977707201205,-0.2582425255015064,0.7208568907265067,1.4828296136090269,0.3737897978493443,1.8359822245570645,0.4835380760544017,0.17959197518693237,1.4524073412715555
clic2024_test/5e5ce43575fa67fdc0dd37146d7f479e,1,25.2894165,2.75175,3.16901025,26.0487915,14.9037085,8.7842085,3.264958,4.7246875,24.503687499999998,2.79128175,3.19851025,25.6830625,14.875917000000001,8.488396,3.222667,4.681312500000001,25.434728999999997,2.7440935,3.27639575,26.313562500000003,14.726083500000001,8.908999999999999,3.213979,4.698187000000001,22.505667000000003,2.74596875,1.87586475,23.195875,12.988083,8.6145205,3.241479,4.712979499999999,1.5828873817984923,-6.385414230494391,5.730324082619031,-3.0506469689510984,-14.556461968705236,6.614803104520439,11.17253844572177,-3.91369448955059,15.631824212199685,11.515994528583317,3.6149359185888574,20.232336028455677
clic2024_test/5e5ce43575fa67fdc0dd37146d7f479e,7,71.68518700000001,2.541094,4.1611775,72.4910625,17.845041000000002,52.377938,5.832125,4.2036665,71.804667,2.56678125,4.24135425,72.7125625,17.7599795,52.4208955,5.846646,4.165167,71.4198335,2.49568725,4.197229,72.301375,17.5070835,52.4019165,5.9021045,4.195583,68.516917,2.504354,2.068698,69.8070415,15.0959585,52.31975,5.8375835,4.3691255,0.20649964848650226,-0.20840567800988197,0.75236506503773,0.49820270350309226,-0.3096600132560745,0.6522986573485601,4.6654506181312065,3.8135993164049142,4.899420983489189,3.912109503761896,3.1312320571181163,4.467926054122618
clic2024_test/5e5ce43575fa67fdc0dd37146d7f479e,8,141.81689599999999,2.46423975,4.2081145,145.42708299999998,61.478958,80.0880625,48.3425835,4.6163335,141.5510835,2.54293725,4.22160425,143.97395849999998,60.4567705,79.62285399999999,47.540375,4.623457999999999,140.709458,2.522052,4.1322395,142.992687,59.440459000000004,80.043229,47.2380005,4.628021,138.418333,2.55673975,2.07299975,141.580667,57.257895500000004,80.48525000000001,47.706875499999995,4.6654374999999995,0.44271770692225765,-0.6657352026658403,0.9115413895028679,0.4860064571887923,-1.853371431364259,3.2090632778536854,2.3964443559672866,1.2246460673114634,3.545844505433393,1.8901742377285258,-0.1726761956065248,2.643768409739633
unsplash/campus_interior/12mp,1,65.0375005,9.6487185,7.780031,63.8418125,34.862542000000005,23.622,4.520811999999999,6.950417,58.013062500000004,3.6295415,7.69954175,56.0783955,28.234021,22.8367705,4.506375,6.913437500000001,54.637125,3.63320825,7.6523645,54.192313,24.8015415,24.135021000000002,4.526083,6.8906670000000005,48.2968745,3.64874975,2.4642295,46.2492295,18.811479,22.4078125,4.4998545,6.999563,10.229636019486666,8.07191137672425,11.635722638338208,6.627353747394082,4.560653078713228,6.864270945001271,25.657615889641548,22.037656988009758,26.43521596503596,12.22191390875168,7.984442676910786,12.753051389124181
unsplash/campus_interior/12mp,7,232.3839165,9.74258325,11.263396,231.344854,44.974604,176.6774795,11.0539795,6.981583499999999,217.7293955,3.508729,10.8482185,215.61725,38.510853499999996,168.541917,10.963353999999999,6.9511045,211.0644375,3.51415625,10.7921145,209.19681250000002,34.65325,168.39637499999998,10.9381875,6.9402915,201.6476455,3.4685105,2.87598975,200.5736455,25.481437,168.34522950000002,10.827354,7.039521,7.108952102978961,4.54361242336666,7.736523873511136,2.94925213560987,0.7147775066007056,5.170050446727236,13.614392373512684,11.613845858584803,14.237413921574426,4.647916263705509,3.573114686925205,4.868330214705885
unsplash/campus_interior/12mp,8,351.38539549999996,9.36185425,11.358031,349.4623545,105.615146,234.51777049999998,68.31185400000001,7.651958499999999,341.4812915,3.588323,10.85627125,342.5836665,98.53999999999999,234.274,67.35789600000001,7.684354,337.10691699999995,3.58076075,10.8944685,337.617021,91.794625,235.16418750000003,67.2911875,7.643375499999999,329.0318125,3.4705105,2.83754225,327.364875,83.9035415,233.1281465,68.13508300000001,7.788520999999999,2.6520736545523116,2.2445863869555716,3.2636611319305175,1.4498585824256338,0.386120211033103,1.8876105582186553,6.122239936987583,6.0967168312880515,8.191397499330611,2.574073232056795,1.4619780656244141,4.3027583441724415
unsplash/alpine_lake/24mp,1,130.954812,19.7719895,12.52889575,126.2445415,63.756125499999996,52.1653955,5.7670835,10.030229,112.431437,3.79583375,12.580625,112.4923335,47.615333500000006,53.5235625,5.767708000000001,10.005854,89.4186875,3.8161355,12.3343125,87.2616255,35.063708500000004,42.7892915,5.7116045,9.942145499999999,78.591625,3.80791675,3.957729,74.55883299999999,25.7046875,39.5644795,5.897875,10.0837085,12.332894513472702,8.936891213360953,19.26354642088295,21.484018299970675,16.90388751368117,23.004006278666832,39.98569140017552,38.59880336437301,40.47469600446774,12.164729548283749,10.54503875389029,15.32046252886483
unsplash/alpine_lake/24mp,7,400.654083,18.25084375,15.13710425,398.16225,69.25847949999999,311.898396,10.127499499999999,9.192396500000001,384.61825,3.788646,15.02479175,381.622979,54.3184165,306.7830205,10.070667,9.2129165,373.5685835,3.876375,14.87933325,367.649542,41.614729,306.850146,10.2074165,9.2116875,347.399146,3.81758325,2.85809375,342.495854,28.0205625,303.081104,10.068999999999999,9.499979,4.0373360448257785,3.340272654094678,4.6589831208070915,3.2146811605126,1.8534868153892492,4.281133565554929,13.27743662159724,13.009489450188683,13.605660268648577,6.980605289372921,5.6993237707654965,7.3218296091234425
