image,effort,batch,release_wall_ms,release_fps,release_first_encode_ms,release_in_flight,release_peak_backing_gib,joined_wall_ms,joined_fps,joined_first_encode_ms,joined_in_flight,joined_peak_backing_gib,group256_wall_ms,group256_fps,group256_first_encode_ms,group256_in_flight,group256_peak_backing_gib,release_ratio_median,release_ratio_min,release_ratio_max,joined_ratio_median,joined_ratio_min,joined_ratio_max
clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,1,18.541917,53.931856129007585,81.425375,1,0.3126588277518749,17.326625,57.71464436957572,80.572583,1,0.2460272191092372,17.073,58.572014291571485,79.020542,1,0.24603446293622255,1.0888538870864062,1.0860374275171323,1.0958970464995954,1.028329619329383,0.9874655889416037,1.070022663178529
clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,4,40.578208,98.575077539156,81.971458,4,0.9721944257616997,32.506875,123.05089308030993,81.837625,4,0.9073343519121408,32.611292,122.65690056070149,79.593,4,0.9079675916582346,1.2442993058968654,1.1877344506139345,1.28263250799855,0.998606065653578,0.9964543842107705,1.0206767009724345
unsplash/alpine_lake/24mp,1,1,88.373875,11.315561301346127,183.319792,1,2.1489249262958765,78.655583,12.713655685445751,171.693541,1,1.795490063726902,77.402917,12.919409742658665,171.137042,1,1.795490063726902,1.1500962442720737,1.133338154352979,1.1542168365566894,1.0161837053246972,1.010009503836728,1.0241647959823017
unsplash/alpine_lake/24mp,1,4,261.410709,15.301591948170723,180.233084,4,7.292013842612505,280.184375,14.27631358815066,171.264917,4,6.923455046489835,286.919084,13.941212777606665,174.554667,4,6.923444015905261,0.9070531289844164,0.8771531986212906,0.9312419350955408,0.9765274972089343,0.9714358498624445,0.9915919758897147
unsplash/forest_stream/48mp,1,1,195.328375,5.1195838802222156,299.784292,1,4.263341051526368,172.418167,5.7998528658525865,284.036,1,3.5905724046751857,171.7805,5.821382520134708,279.273959,1,3.5905724046751857,1.1370811879113172,1.1184089516318891,1.143091985236704,1.007490688349474,0.9868611282636164,1.0096916297251435
unsplash/forest_stream/48mp,1,4,744.265625,5.374425293389037,302.797417,2,6.873366521671414,690.94225,5.789195840896978,283.749083,1,3.6112225027754903,676.146333,5.915879159252942,276.174834,1,3.6112225027754903,1.1008468429525373,1.0654976978893913,1.1068469404832222,1.0219759841454759,1.0109671460446505,1.0358021005491425
