image,effort,batch,base_wall_ms,base_fps,base_first_encode_ms,base_peak_backing_gib,base_in_flight,base_trim,release_wall_ms,release_fps,release_first_encode_ms,release_peak_backing_gib,release_in_flight,release_trim,joined_wall_ms,joined_fps,joined_first_encode_ms,joined_peak_backing_gib,joined_in_flight,joined_trim,combined_throughput_ratio_median,combined_throughput_ratio_minimum,combined_throughput_ratio_maximum,gpu_over_cpu_throughput_ratio_median,gpu_over_cpu_throughput_ratio_minimum,gpu_over_cpu_throughput_ratio_maximum
clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,1,18.743292,53.3524206953613,81.256459,0.3126588277518749,1,0,18.334583,54.54173678234188,81.785709,0.3126588277518749,1,0,17.687375,56.53750203181648,80.13675,0.24602526426315308,1,0,1.041863399152905,1.010706102805376,1.066928586067746,1.0458253620728608,1.0152651255485905,1.3571002035616548
clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,4,38.714958,103.31923903933978,74.691291,0.9755729101598263,4,0,39.216,101.99918400652794,80.684708,0.9755743406713009,4,0,32.873083,121.68009918631604,81.117666,0.9073329214006662,4,0,1.1812479318985343,1.0728021701786714,1.1963827974394736,1.1558025147808617,1.1172638265915962,1.1965354294671564
clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,1,61.7825,16.18581313478736,147.107708,0.7888100743293762,1,0,61.69625,16.208440545414025,135.866792,0.7888100743293762,1,0,60.87875,16.426092848489827,132.526167,0.7233613356947899,1,0,1.0164604652693232,1.009424197296501,1.0169291419419748,1.0134283309036405,1.0093491964782508,1.0191367016550952
clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,4,196.075291,20.40032672959287,142.267667,2.911123838275671,4,0,198.577417,20.143277420110667,143.388709,2.911123838275671,4,0,197.305166,20.27316405896843,143.439333,2.8482188396155834,4,0,0.9894016532053324,0.9769003775414689,1.0162573898343847,1.0102344906053708,1.0020274541836314,1.0133876829155097
unsplash/alpine_lake/24mp,1,1,127.066791,7.869876874438421,197.324416,2.1489249262958765,1,0,89.036125,11.23139624506345,182.609917,2.1489249262958765,1,0,78.709834,12.704892758381373,173.984666,1.795490063726902,1,0,1.6143699528066593,1.6033071172724436,1.6188226015848044,1.1285921962578174,1.1281546164166287,1.1383605128680616
unsplash/alpine_lake/24mp,1,4,277.918041,14.392732424304905,202.189208,7.297742486000061,4,0,254.009625,15.747434767481744,175.491334,7.297753516584635,4,0,279.187125,14.327308252484782,173.408042,6.923455046489835,4,0,0.9892288526297038,0.9889702112875013,1.014942248568252,0.9026394540659657,0.8685815723056713,0.950544559868645
unsplash/alpine_lake/24mp,7,1,393.489541,2.5413636089504092,534.434125,5.855135651305318,1,0,371.82725,2.6894209609435564,510.970834,5.855135651305318,1,0,347.785125,2.8753386160492056,508.873791,5.600277569144964,1,0,1.1314156722487771,1.128747755461837,1.1564338279630355,1.0686442716606317,1.0605821884992925,1.080838194854176
unsplash/alpine_lake/24mp,7,4,1546.271584,2.5868676896024496,533.755708,11.353263860568404,2,0,1426.112458,2.8048278924718573,519.737709,11.370919659733772,2,0,1383.847083,2.8904927785290564,508.550292,11.017176173627377,2,0,1.1173717117991713,1.1173387781744926,1.1180192795974235,1.0313542591034965,1.0232034094104618,1.0322276386866784
unsplash/forest_stream/48mp,1,1,255.257958,3.917605577648631,346.090417,4.263341051526368,1,0,194.452958,5.142631977858624,303.755584,4.263341051526368,1,0,173.195833,5.773810966918586,287.7885,3.5905724046751857,1,0,1.4922626111911135,1.4423148875233682,1.5046365735726397,1.13547717328811,1.116727713328245,1.1377446072850956
unsplash/forest_stream/48mp,1,4,773.431959,5.171754222791303,346.476791,6.873366521671414,2,0,736.371625,5.432039834506116,301.238,7.708833796903491,2,0,691.747333,5.782458145017524,284.721333,3.6112225027754903,1,0,1.1219027812162288,1.113833422665304,1.1292103528789463,1.0604621620340382,1.0554629385048935,1.0703317984458351
unsplash/forest_stream/48mp,7,1,1053.079042,0.9495963361884092,1050.066458,11.052883471362293,1,0,977.443083,1.0230774736578703,1012.505583,11.052883471362293,1,0,958.8015,1.0429687479629517,981.208792,11.205375229008496,1,1,1.0983285299407646,1.0934090634799805,1.1094331167327025,1.0190369080311217,1.018100026960742,1.0216046246109478
unsplash/forest_stream/48mp,7,4,4259.959375,0.9389760905877182,1046.712125,11.069217260926962,1,1,3939.802042,1.0152794372301612,1001.571625,11.069217260926962,1,1,3852.286917,1.0383442578869575,994.023,11.205379073508084,1,1,1.1034805644520373,1.10300638635375,1.1058260889657405,1.0194417614794602,1.01938955394791,1.0258088567549968
