round,image,effort,batch,mode,in_flight,trim_after_each_image,peak_backing_bytes,peak_cpu_slots,first_encode_ms,Pageouts,Swapouts,Swapins,Compressions
1,unsplash/alpine_lake/24mp,1,1,release,1,0,2307390570,8,183.4735,0,0,0,0
1,unsplash/alpine_lake/24mp,1,1,base,1,0,2307390570,8,201.63075,0,0,0,0
1,unsplash/alpine_lake/24mp,1,4,joined,4,0,7433991406,8,173.408042,0,0,44,0
1,unsplash/alpine_lake/24mp,1,4,release,4,0,7804994738,8,175.491334,0,0,12,0
1,unsplash/alpine_lake/24mp,1,4,base,4,0,7832071708,8,202.214,0,0,0,0
1,unsplash/alpine_lake/24mp,7,1,joined,1,0,6013252252,8,508.873791,0,0,20,0
1,unsplash/alpine_lake/24mp,7,1,release,1,0,6286904034,8,510.970834,0,0,24,0
1,unsplash/alpine_lake/24mp,7,1,base,1,0,6286904034,8,534.434125,0,0,56,0
1,unsplash/alpine_lake/24mp,7,4,joined,2,0,11829602840,8,508.550292,0,0,32,0
1,unsplash/alpine_lake/24mp,7,4,release,2,0,12209432016,8,519.737709,0,0,32,0
1,unsplash/alpine_lake/24mp,7,4,base,2,0,12190474246,8,536.2155,0,0,32,0
1,unsplash/forest_stream/48mp,1,1,joined,1,0,3855347763,8,290.857,0,0,20,0
1,unsplash/forest_stream/48mp,1,1,release,1,0,4577727597,8,307.888709,0,0,16,0
1,unsplash/forest_stream/48mp,1,1,base,1,0,4577727597,8,346.090417,0,0,100,0
1,unsplash/forest_stream/48mp,1,4,joined,1,0,3877520637,8,281.491541,0,0,16,0
1,unsplash/forest_stream/48mp,1,4,release,2,0,7380221106,8,301.238,0,0,92,0
1,unsplash/forest_stream/48mp,1,4,base,2,0,7380221106,8,351.161625,0,0,228,0
1,unsplash/forest_stream/48mp,7,1,joined,1,1,12031680037,8,981.208792,0,0,68,0
1,unsplash/forest_stream/48mp,7,1,release,1,0,11867943259,8,1010.560791,0,0,56,0
1,unsplash/forest_stream/48mp,7,1,base,1,0,11867943259,8,1051.655125,0,0,40,0
1,unsplash/forest_stream/48mp,7,4,joined,1,1,12031684165,8,994.023,0,0,92,0
1,unsplash/forest_stream/48mp,7,4,release,1,1,11885481532,8,999.79825,0,0,392,0
1,unsplash/forest_stream/48mp,7,4,base,1,1,11885481532,8,1056.392916,0,0,268,0
2,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,1,release,1,0,335714860,8,75.859625,0,0,0,0
2,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,1,joined,1,0,264157801,8,71.746542,0,0,4,0
2,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,1,base,1,0,335714860,8,75.162875,0,0,0,0
2,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,4,release,4,0,1040066196,8,76.083167,0,0,0,0
2,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,4,joined,4,0,974092722,8,72.8565,0,0,0,0
2,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,1,4,base,4,0,1039304396,8,74.691291,0,0,4,0
2,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,1,release,1,0,846978368,8,135.866792,0,0,8,0
2,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,1,joined,1,0,776703320,8,130.874917,0,0,0,0
2,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,1,base,1,0,846978368,8,126.104,0,0,0,0
2,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,4,release,4,0,3125795420,8,144.036083,0,0,0,0
2,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,4,joined,4,0,3055520372,8,143.439333,0,0,16,0
2,clic2024_test/097cb426910ba8ce2525dd8bb7fb1777,7,4,base,4,0,3125795420,8,144.313333,0,0,0,0
2,unsplash/alpine_lake/24mp,1,1,release,1,0,2307390570,8,182.609917,0,0,4,0
2,unsplash/alpine_lake/24mp,1,1,joined,1,0,1927892776,8,172.365917,0,0,0,0
2,unsplash/alpine_lake/24mp,1,1,base,1,0,2307390570,8,197.324416,0,0,8,0
2,unsplash/alpine_lake/24mp,1,4,release,4,0,7829740244,8,182.149875,0,0,4,0
2,unsplash/alpine_lake/24mp,1,4,joined,4,0,7434003250,8,176.537583,0,0,24,0
2,unsplash/alpine_lake/24mp,1,4,base,4,0,7835879484,8,202.189208,0,0,0,0
2,unsplash/alpine_lake/24mp,7,1,release,1,0,6286904034,8,517.103458,0,0,20,0
2,unsplash/alpine_lake/24mp,7,1,joined,1,0,6013252252,8,509.533166,0,0,32,0
2,unsplash/alpine_lake/24mp,7,1,base,1,0,6286904034,8,540.292333,0,0,60,0
2,unsplash/alpine_lake/24mp,7,4,release,2,0,12209432016,8,520.270625,0,0,76,0
2,unsplash/alpine_lake/24mp,7,4,joined,2,0,11829602840,8,502.095791,0,0,812,0
2,unsplash/alpine_lake/24mp,7,4,base,2,0,12190474246,8,533.460292,0,0,704,0
2,unsplash/forest_stream/48mp,1,1,release,1,0,4577727597,8,303.755584,0,0,116,0
2,unsplash/forest_stream/48mp,1,1,joined,1,0,3855347763,8,280.473791,0,0,296,0
2,unsplash/forest_stream/48mp,1,1,base,1,0,4577727597,8,338.321792,0,0,184,0
2,unsplash/forest_stream/48mp,1,4,release,2,0,7380221106,8,300.711208,0,0,464,0
2,unsplash/forest_stream/48mp,1,4,joined,1,0,3877520637,8,286.336875,0,0,320,0
2,unsplash/forest_stream/48mp,1,4,base,2,0,7380221106,8,345.235667,0,0,316,0
2,unsplash/forest_stream/48mp,7,1,release,1,0,11867943259,8,1012.505583,0,0,560,0
2,unsplash/forest_stream/48mp,7,1,joined,1,1,12031680037,8,995.8775,0,0,604,0
2,unsplash/forest_stream/48mp,7,1,base,1,0,11867943259,8,1050.066458,0,0,236,0
2,unsplash/forest_stream/48mp,7,4,release,1,1,11885481532,8,1012.117125,0,0,72,0
2,unsplash/forest_stream/48mp,7,4,joined,1,1,12031684165,8,990.769958,0,0,136,0
2,unsplash/forest_stream/48mp,7,4,base,1,1,11885481532,8,1039.272584,0,0,136,0
