resolution_class,effort,stage,mean_ms
12mp,5,frontend.ac_strategy.dct16,7.490583166666667
12mp,5,frontend.ac_strategy.dct16x32,4.925242833333333
12mp,5,frontend.ac_strategy.dct16x8,4.348097166666666
12mp,5,frontend.ac_strategy.dct32,8.586256999999998
12mp,5,frontend.ac_strategy.dct32x16,4.113944333333333
12mp,5,frontend.ac_strategy.dct8,2.4599721666666667
12mp,5,frontend.ac_strategy.dct8x16,4.138374833333334
12mp,5,frontend.ac_strategy.metadata,0.6474168333333333
12mp,5,frontend.ac_strategy.select,0.3778821666666666
12mp,5,frontend.initial_quantization,6.5813055
12mp,5,frontend.prepare_aq.reference.main.high_x,1.8476111666666668
12mp,5,frontend.prepare_aq.reference.main.high_y,1.7136803333333332
12mp,5,frontend.prepare_aq.reference.main.low_medium,5.511194666666667
12mp,5,frontend.prepare_aq.reference.main.mask,2.0113195000000004
12mp,5,frontend.prepare_aq.reference.main.medium_b,1.4019793333333332
12mp,5,frontend.prepare_aq.reference.main.opsin,2.0364861666666667
12mp,5,frontend.prepare_aq.reference.main.suppress_x,0.6199445
12mp,5,frontend.prepare_aq.reference.main.ultra_x,1.5808818333333334
12mp,5,frontend.prepare_aq.reference.main.ultra_y,2.5582361666666666
12mp,5,frontend.prepare_aq.reference.sub.high_x,0.4053541666666667
12mp,5,frontend.prepare_aq.reference.sub.high_y,0.39738883333333336
12mp,5,frontend.prepare_aq.reference.sub.low_medium,1.3608403333333332
12mp,5,frontend.prepare_aq.reference.sub.mask,0.5035835
12mp,5,frontend.prepare_aq.reference.sub.medium_b,0.3559791666666667
12mp,5,frontend.prepare_aq.reference.sub.opsin,1.5334651666666665
12mp,5,frontend.prepare_aq.reference.sub.suppress_x,0.16703483333333335
12mp,5,frontend.prepare_aq.reference.sub.ultra_x,0.36723633333333333
12mp,5,frontend.prepare_aq.reference.sub.ultra_y,0.6307568333333333
12mp,5,frontend.quant_adjustment,0.041333166666666664
12mp,6,aq.epf.pass_1,1.8437358333333334
12mp,6,aq.epf_linear.pass_2,1.6556875
12mp,6,aq.final_frame.dc_quantization,1.6712018333333332
12mp,6,aq.final_frame.dct16,0.2767013333333333
12mp,6,aq.final_frame.dct16x32,0.5615348333333333
12mp,6,aq.final_frame.dct16x8,0.18224333333333334
12mp,6,aq.final_frame.dct32,1.538882
12mp,6,aq.final_frame.dct32x16,0.40327783333333334
12mp,6,aq.final_frame.dct8,0.6965628333333335
12mp,6,aq.final_frame.dct8x16,0.26472199999999996
12mp,6,aq.final_frame.quantizer,0.45222233333333334
12mp,6,aq.gaborish,1.7507918333333334
12mp,6,aq.policy_bounds,0.011111166666666665
12mp,6,aq.policy_initialize,0.022958166666666665
12mp,6,aq.policy_update,0.021896
12mp,6,aq.reconstruction.coefficients.dct16,0.2299306666666667
12mp,6,aq.reconstruction.coefficients.dct16x32,0.4059791666666666
12mp,6,aq.reconstruction.coefficients.dct16x8,0.14902066666666666
12mp,6,aq.reconstruction.coefficients.dct32,1.2344998333333332
12mp,6,aq.reconstruction.coefficients.dct32x16,0.3471458333333333
12mp,6,aq.reconstruction.coefficients.dct8,0.578243
12mp,6,aq.reconstruction.coefficients.dct8x16,0.1956945
12mp,6,aq.reconstruction.dc_llf,0.2328475
12mp,6,aq.reconstruction.dc_quantization,1.6479583333333334
12mp,6,aq.reconstruction.dc_smoothing,0.029201500000000002
12mp,6,aq.reconstruction.dct16,0.08201416666666668
12mp,6,aq.reconstruction.dct16x32,0.16009033333333333
12mp,6,aq.reconstruction.dct16x8,0.08181266666666669
12mp,6,aq.reconstruction.dct32,0.6630903333333333
12mp,6,aq.reconstruction.dct32x16,0.10090266666666665
12mp,6,aq.reconstruction.dct8,0.38254866666666665
12mp,6,aq.reconstruction.dct8x16,0.10360416666666666
12mp,6,aq.reconstruction.final_cfl,1.6191178333333331
12mp,6,aq.reconstruction.forward.dct16,0.08313883333333334
12mp,6,aq.reconstruction.forward.dct16x32,0.15493749999999998
12mp,6,aq.reconstruction.forward.dct16x8,0.1504235
12mp,6,aq.reconstruction.forward.dct32,0.658417
12mp,6,aq.reconstruction.forward.dct32x16,0.11312500000000002
12mp,6,aq.reconstruction.forward.dct8,0.38613216666666667
12mp,6,aq.reconstruction.forward.dct8x16,0.09777766666666667
12mp,6,aq.reconstruction.quantizer,0.47980566666666663
12mp,6,aq.reconstruction.reset,0.002104166666666666
12mp,6,aq.strategy_dispatch,0.0034096666666666667
12mp,6,butteraugli.malta.main,6.746000333333334
12mp,6,butteraugli.malta.sub,1.7271876666666666
12mp,6,butteraugli.mask.main,1.3176111666666666
12mp,6,butteraugli.mask_final.sub,1.6569029999999998
12mp,6,butteraugli.psycho.main.high_x,1.7281180000000003
12mp,6,butteraugli.psycho.main.high_y,1.7107291666666669
12mp,6,butteraugli.psycho.main.low_medium,5.584472333333333
12mp,6,butteraugli.psycho.main.medium_b,1.4835695
12mp,6,butteraugli.psycho.main.opsin,1.967486
12mp,6,butteraugli.psycho.main.suppress_x,0.6271111666666666
12mp,6,butteraugli.psycho.main.ultra_x,1.7404583333333334
12mp,6,butteraugli.psycho.main.ultra_y,2.5688055000000003
12mp,6,butteraugli.psycho.sub.high_x,0.42474283333333335
12mp,6,butteraugli.psycho.sub.high_y,0.399521
12mp,6,butteraugli.psycho.sub.low_medium,1.3767153333333333
12mp,6,butteraugli.psycho.sub.medium_b,0.3549723333333334
12mp,6,butteraugli.psycho.sub.opsin,1.5297221666666667
12mp,6,butteraugli.psycho.sub.suppress_x,0.17152066666666668
12mp,6,butteraugli.psycho.sub.ultra_x,0.37634733333333337
12mp,6,butteraugli.psycho.sub.ultra_y,0.6438471666666666
12mp,6,butteraugli.resident_reduction,6.244270666666666
12mp,6,frontend.ac_strategy.dct16,7.498374999999999
12mp,6,frontend.ac_strategy.dct16x32,4.860416666666667
12mp,6,frontend.ac_strategy.dct16x8,4.3552290000000005
12mp,6,frontend.ac_strategy.dct32,8.448506666666667
12mp,6,frontend.ac_strategy.dct32x16,4.183868166666667
12mp,6,frontend.ac_strategy.dct8,2.4620138333333332
12mp,6,frontend.ac_strategy.dct8x16,4.1459585
12mp,6,frontend.ac_strategy.metadata,0.6435488333333333
12mp,6,frontend.ac_strategy.select,0.37879883333333336
12mp,6,frontend.initial_quantization,6.506097333333333
12mp,6,frontend.prepare_aq.reference.main.high_x,1.7035138333333333
12mp,6,frontend.prepare_aq.reference.main.high_y,1.6993613333333333
12mp,6,frontend.prepare_aq.reference.main.low_medium,5.656215333333333
12mp,6,frontend.prepare_aq.reference.main.mask,2.0400625
12mp,6,frontend.prepare_aq.reference.main.medium_b,1.4793958333333332
12mp,6,frontend.prepare_aq.reference.main.opsin,1.978889
12mp,6,frontend.prepare_aq.reference.main.suppress_x,0.6189861666666666
12mp,6,frontend.prepare_aq.reference.main.ultra_x,1.5855555000000001
12mp,6,frontend.prepare_aq.reference.main.ultra_y,2.568652666666667
12mp,6,frontend.prepare_aq.reference.sub.high_x,0.40454150000000005
12mp,6,frontend.prepare_aq.reference.sub.high_y,0.39486116666666665
12mp,6,frontend.prepare_aq.reference.sub.low_medium,1.3532358333333336
12mp,6,frontend.prepare_aq.reference.sub.mask,0.5053401666666667
12mp,6,frontend.prepare_aq.reference.sub.medium_b,0.3545138333333333
12mp,6,frontend.prepare_aq.reference.sub.opsin,1.509118
12mp,6,frontend.prepare_aq.reference.sub.suppress_x,0.16658350000000002
12mp,6,frontend.prepare_aq.reference.sub.ultra_x,0.37123599999999995
12mp,6,frontend.prepare_aq.reference.sub.ultra_y,0.632389
12mp,6,frontend.quant_adjustment,0.041611333333333334
12mp,7,aq.epf.pass_1,3.818
12mp,7,aq.epf_linear.pass_2,3.2985276666666667
12mp,7,aq.final_frame.dc_quantization,1.7374581666666666
12mp,7,aq.final_frame.dct16,0.2744931666666667
12mp,7,aq.final_frame.dct16x32,0.48274316666666667
12mp,7,aq.final_frame.dct16x8,0.17314566666666664
12mp,7,aq.final_frame.dct32,1.6681526666666666
12mp,7,aq.final_frame.dct32x16,0.39415283333333334
12mp,7,aq.final_frame.dct8,0.6873126666666667
12mp,7,aq.final_frame.dct8x16,0.246354
12mp,7,aq.final_frame.quantizer,0.5049583333333334
12mp,7,aq.gaborish,3.498326
12mp,7,aq.policy_bounds,0.011041666666666667
12mp,7,aq.policy_initialize,0.022083000000000002
12mp,7,aq.policy_update,0.04426349999999999
12mp,7,aq.reconstruction.coefficients.dct16,0.4592431666666667
12mp,7,aq.reconstruction.coefficients.dct16x32,0.8078748333333333
12mp,7,aq.reconstruction.coefficients.dct16x8,0.2984236666666667
12mp,7,aq.reconstruction.coefficients.dct32,2.4647221666666668
12mp,7,aq.reconstruction.coefficients.dct32x16,0.6910206666666667
12mp,7,aq.reconstruction.coefficients.dct8,1.1164934999999998
12mp,7,aq.reconstruction.coefficients.dct8x16,0.3921115
12mp,7,aq.reconstruction.dc_llf,0.4666318333333333
12mp,7,aq.reconstruction.dc_quantization,3.3934864999999994
12mp,7,aq.reconstruction.dc_smoothing,0.05763183333333333
12mp,7,aq.reconstruction.dct16,0.163
12mp,7,aq.reconstruction.dct16x32,0.31944433333333333
12mp,7,aq.reconstruction.dct16x8,0.16394433333333333
12mp,7,aq.reconstruction.dct32,1.3889233333333335
12mp,7,aq.reconstruction.dct32x16,0.20285416666666664
12mp,7,aq.reconstruction.dct8,0.7597776666666666
12mp,7,aq.reconstruction.dct8x16,0.209021
12mp,7,aq.reconstruction.final_cfl,1.6154651666666666
12mp,7,aq.reconstruction.forward.dct16,0.0838335
12mp,7,aq.reconstruction.forward.dct16x32,0.15419433333333332
12mp,7,aq.reconstruction.forward.dct16x8,0.07652766666666666
12mp,7,aq.reconstruction.forward.dct32,0.6547014999999999
12mp,7,aq.reconstruction.forward.dct32x16,0.11475666666666667
12mp,7,aq.reconstruction.forward.dct8,0.3962638333333333
12mp,7,aq.reconstruction.forward.dct8x16,0.0973195
12mp,7,aq.reconstruction.quantizer,0.9535278333333332
12mp,7,aq.reconstruction.reset,0.004916666666666667
12mp,7,aq.strategy_dispatch,0.0034514999999999997
12mp,7,butteraugli.malta.main,13.943763833333334
12mp,7,butteraugli.malta.sub,3.5373401666666666
12mp,7,butteraugli.mask.main,2.6959585
12mp,7,butteraugli.mask_final.sub,3.321388666666667
12mp,7,butteraugli.psycho.main.high_x,3.417097333333333
12mp,7,butteraugli.psycho.main.high_y,3.4561526666666667
12mp,7,butteraugli.psycho.main.low_medium,10.966917
12mp,7,butteraugli.psycho.main.medium_b,2.812743333333333
12mp,7,butteraugli.psycho.main.opsin,3.9970071666666662
12mp,7,butteraugli.psycho.main.suppress_x,1.2548816666666667
12mp,7,butteraugli.psycho.main.ultra_x,3.203368166666667
12mp,7,butteraugli.psycho.main.ultra_y,5.214298666666665
12mp,7,butteraugli.psycho.sub.high_x,0.8277844999999999
12mp,7,butteraugli.psycho.sub.high_y,0.7968261666666666
12mp,7,butteraugli.psycho.sub.low_medium,2.7262011666666663
12mp,7,butteraugli.psycho.sub.medium_b,0.7089655
12mp,7,butteraugli.psycho.sub.opsin,3.1082708333333335
12mp,7,butteraugli.psycho.sub.suppress_x,0.3385836666666666
12mp,7,butteraugli.psycho.sub.ultra_x,0.7421730000000001
12mp,7,butteraugli.psycho.sub.ultra_y,1.311285
12mp,7,butteraugli.resident_reduction,12.6083195
12mp,7,frontend.ac_strategy.dct16,7.637416666666667
12mp,7,frontend.ac_strategy.dct16x32,4.842881833333332
12mp,7,frontend.ac_strategy.dct16x8,4.447708166666667
12mp,7,frontend.ac_strategy.dct32,8.3751875
12mp,7,frontend.ac_strategy.dct32x16,4.174673666666666
12mp,7,frontend.ac_strategy.dct8,2.4640971666666664
12mp,7,frontend.ac_strategy.dct8x16,4.162041666666666
12mp,7,frontend.ac_strategy.metadata,0.6497566666666666
12mp,7,frontend.ac_strategy.select,0.37993066666666664
12mp,7,frontend.initial_quantization,6.568666666666668
12mp,7,frontend.prepare_aq.reference.main.high_x,1.7048055
12mp,7,frontend.prepare_aq.reference.main.high_y,1.7031176666666668
12mp,7,frontend.prepare_aq.reference.main.low_medium,5.605430833333333
12mp,7,frontend.prepare_aq.reference.main.mask,2.1267085
