resolution_class,effort,sample_count,ordinary_ms,profiled_ms,all_gpu_ms,all_gpu_percent,perceptual_ms,perceptual_percent,comparison_ms,comparison_percent,ac_search_ms,ac_search_percent,serializer_ms,serializer_percent,entropy_ms,entropy_percent,orchestration_ms,orchestration_percent
12mp,1,6,73.64070133333333,70.92973616666667,12.190291166666666,17.186432412525278,0.0,0.0,0.0,0.0,0.0,0.0,37.33115983333334,52.631183831862415,4.383687500000001,6.180323989503444,16.130035333333332,22.740864699442685
12mp,2,6,72.25099316666667,71.5680905,11.549403333333334,16.137643540082063,0.0,0.0,0.0,0.0,0.0,0.0,37.255326333333336,52.055778033274954,4.437527666666666,6.20042764263309,17.342929833333333,24.232768699247792
12mp,3,6,71.504007,72.83669433333334,11.154632166666667,15.314577725916656,0.0,0.0,0.0,0.0,0.0,0.0,39.0232155,53.576313226699014,4.4658265,6.131286628086632,17.528444,24.065402968155016
12mp,4,6,77.80418766666666,77.812757,11.382514,14.628082127972924,0.0,0.0,0.0,0.0,0.0,0.0,43.99603483333333,56.540902198508824,9.1780275,11.795016464973731,16.981541666666665,21.82359592613672
12mp,5,6,205.94084716666666,201.96638883333333,130.9923,64.85846519150147,65.53718016666667,32.44954793975609,40.534207333333335,20.069778722826484,37.0877705,18.363337936692805,47.9108125,23.722171187373636,10.272395666666666,5.086190690443869,17.542672333333332,8.685936523730142
12mp,6,6,205.46382633333334,202.25909049999999,130.65348883333334,64.5970910431506,65.40256283333333,32.33603131095526,40.380111666666664,19.964547238318897,36.9767155,18.281855914901385,48.727472,24.091610359535363,10.416520666666667,5.150087761650776,17.4671705,8.636037300879687
12mp,7,6,261.99093716666664,259.1003545,184.24072766666666,71.10786398660318,106.12548650000001,40.95922087980008,80.9893265,31.257898761385142,37.133694,14.331780468482533,49.2295695,19.00019380328559,11.166951333333333,4.3098942704585665,18.834688833333335,7.2692640153579315
12mp,8,6,393.58874316666663,391.55156933333336,251.4342605,64.21485193587628,146.20691683333334,37.340398630573574,121.0559935,30.916998674303187,37.12662516666667,9.481924751286146,113.90083333333334,29.08961226416844,69.0082015,17.6242944492587,19.672086666666665,5.02413684617863
12mp,9,6,442.68522233333334,441.0053125,304.3681071666667,69.01687996483413,186.488189,42.287061791347476,161.57448766666667,36.63776446381622,37.240410499999996,8.44443580257324,110.08189583333333,24.961580442034546,67.94144466666667,15.406037691817298,20.100129,4.55779747551227
12mp,10,6,479.47963216666665,478.7169445,331.25823583333334,69.197098544176,186.2688905,38.91002661176953,161.25009766666668,33.683808254392524,64.52097883333333,13.47789744537303,111.68677766666667,23.330441704610827,68.6434445,14.339046338060006,29.296493166666668,6.119794484664761
24mp,1,6,129.7267845,127.1673125,19.394750166666665,15.251364352507384,0.0,0.0,0.0,0.0,0.0,0.0,69.8486945,54.926610562757624,5.733868,4.508916550391045,28.193111000000002,22.170092648612044
24mp,2,6,130.5553055,125.22161816666667,19.4029235,15.49486724742306,0.0,0.0,0.0,0.0,0.0,0.0,69.0248195,55.122127082026516,5.774917,4.611757206582124,27.052340333333333,21.603570317488934
24mp,3,6,129.1870415,126.87941666666667,19.486152833333335,15.358009474875423,0.0,0.0,0.0,0.0,0.0,0.0,70.31075666666666,55.415416080753836,5.722736,4.510373826067139,27.495368,21.670471635470157
24mp,4,6,145.740903,140.58432633333334,20.307659833333336,14.445180599423818,0.0,0.0,0.0,0.0,0.0,0.0,81.449618,57.93648561282598,15.482993333333333,11.013314028067601,29.022604,20.644267221643027
24mp,5,6,383.10315966666667,363.96515266666665,245.5503,67.4653323816647,121.1452015,33.284835268542714,74.06704133333334,20.35003647757641,73.8254515,20.28365928966068,76.51745116666667,21.023290445814826,9.854597333333334,2.707566167016697,31.7731305,8.729717740065919
24mp,6,6,372.344125,360.86304866666666,245.371298,67.99568393234196,121.2871525,33.61029979326987,74.169584,20.553388404283893,73.87349366666666,20.471337794107164,74.82757633333333,20.735726921836328,10.0378335,2.7816185494991097,30.572736833333334,8.472116207601438
24mp,7,6,472.50815983333337,464.29834733333337,341.32019233333335,73.51311808316423,195.4477295,42.09528864846085,148.2826185,31.93692576156072,73.7154445,15.876740661124416,78.763986,16.964089243990575,10.352319,2.2296695776450326,31.801891,6.849451690416743
24mp,8,6,686.2070416666667,674.1670486666667,462.20399016666664,68.55926748137426,269.62540866666666,39.99385748679323,222.61685366666666,33.02102262442921,73.7250975,10.935731380792008,167.0984863333333,24.78591717940119,93.54498616666666,13.875639035113801,32.517003,4.823285721886063
24mp,9,6,835.5905626666666,803.0240558333334,562.6414281666666,70.06532669594672,346.4989366666667,43.14925986956761,298.65149966666667,37.19085343673085,74.06347833333334,9.223070939820651,191.30590966666668,23.823185404843212,97.26609716666667,12.112476140671696,36.262516166666664,4.515744690740984
24mp,10,6,856.8602848333334,847.5588196666667,617.1972125,72.82057577345903,346.28581966666667,40.85684811855962,298.8312695,35.257879756065336,129.6987985,15.302630978580197,170.73210450000002,20.143982994259517,93.38736766666668,11.018393709051914,46.96434333333333,5.541130862375282
48mp,1,6,277.34996533333333,279.8880205,40.379541833333334,14.427034698090386,0.0,0.0,0.0,0.0,0.0,0.0,161.45750016666665,57.68646327850486,10.561007,3.7732972569292227,58.68522216666666,20.967393338889497
48mp,2,6,295.8819931666667,278.7929858333333,43.91429133333333,15.751576820367339,0.0,0.0,0.0,0.0,0.0,0.0,158.77919433333335,56.95236336693706,10.472888833333334,3.7565108756337886,57.334806,20.565368898583273
48mp,3,6,306.4022571666667,278.8370761666667,42.07061916666667,15.087885637389263,0.0,0.0,0.0,0.0,0.0,0.0,160.56238883333333,57.58286919396683,10.438534833333334,3.743596431592908,57.00121416666667,20.442480229062458
48mp,4,6,298.52420133333334,289.047132,39.261654166666666,13.583132236948357,0.0,0.0,0.0,0.0,0.0,0.0,175.96371516666667,60.877170428616004,28.544284833333332,9.875304638322215,55.34195716666667,19.146343637364538
48mp,5,6,943.152243,919.7817571666666,510.77275599999996,55.53195114169314,267.0328945,29.032201652115724,163.44878383333332,17.770387655526857,147.51407716666665,16.03794335093958,180.83260433333334,19.66038170732778,7.697979166666666,0.8369354041528109,164.38664,17.872352731411347
48mp,6,6,921.396486,902.9917433333334,510.24806083333334,56.50639273287117,266.8952346666667,29.55677464795424,163.12283816666667,18.064709823869446,147.45669416666667,16.32979429272965,168.34453466666668,18.642976074757243,7.6196668333333335,0.8438246406557213,159.24057816666667,17.634776767597096
48mp,7,6,1113.5208541666666,1104.4703055,718.5240083333333,65.05598247008129,432.30198766666666,39.141114569935056,328.49602216666665,29.742404167032326,147.4636045,13.351522785688873,163.195014,14.775862527704689,7.982632000000001,0.7227565974610987,158.62385966666668,14.361985005550398
48mp,8,6,1560.0518543333333,1538.7602359999998,969.2452988333333,62.988714950997306,599.0513883333333,38.93078169803534,494.4733328333333,32.1345276063745,147.53440866666665,9.587875044794611,355.8247225,23.12411733649712,207.22713866666666,13.46714932050445,154.43218716666667,10.036143614427704
48mp,9,6,1776.2462708333333,1767.4714585,1179.3498266666666,66.72525437369978,765.7656105,43.32548663331075,660.9249648333333,37.393812593400554,147.22790966666668,8.329860658209133,363.44113166666665,20.56277231062663,208.6920625,11.807379490988255,160.4569095,9.078331009439609
48mp,10,6,1930.8292636666667,1920.8321875,1287.267858,67.0161540595279,761.5896883333334,39.64894451943545,656.9837513333333,34.203079040882294,260.02278466666667,13.536986018809447,372.27652766666665,19.38100215569543,216.39397916666667,11.265636872126118,196.21663516666666,10.215188835524794
