case,kernel,trace_calls_per_encode,s103_gpu_ms_per_encode,s103_kernel_percent,profiled_ns,gpc_mhz,dram_mhz,dram_read_bytes,dram_write_bytes,dram_GB_s,dram_percent,lsu_percent_active,l2_percent_elapsed,fma_percent_active,occupancy_percent,eligible_warps,issue_active_percent,registers_per_thread,static_shared_bytes,long_scoreboard_cycles_per_issue,mio_throttle_cycles_per_issue,anomalies
1080p,"void unnamed>::PairedMaltaScaleResponseKernel<64, 1, 0>(const float *, const float *, float *, CudaButteraugliMaltaParams)",8.0,1.4717076666666669,5.347749430556255,194272.0,1281.5022236900002,5494.09762258,25078912.0,8278400.0,171.70416735298963,65.11,73.22,28.17,29.82,91.61,1.68,59.73,40.0,11520.0,8.83,2.25,
1080p,"void unnamed>::FusedMirroredOpsinKernel<32, 16>(unnamed>::OpsinConvolutionPlan)",6.0,1.1517578333333334,4.1851465728227994,300704.0,1276.1054059800001,5493.951970489999,24860800.0,23663360.0,161.36852186868148,61.19,76.05,25.98,30.13,80.74,2.75,71.03,37.0,16320.0,1.88,2.12,
1080p,"void unnamed>::ConvolutionTiledKernel<1, 15>(const float *, const float *, float *, unsigned int, unsigned int, unsigned int, unsigned int)",18.0,1.1231628333333332,4.08124081869086,95936.0,1274.01601067,5491.661107399999,8290816.0,8276864.0,172.69513008672448,65.51,76.31,21.32,19.04,90.19,1.54,52.74,39.0,4384.0,6.14,3.86,
1080p,"void unnamed>::ConvolutionHorizontalPairsKernel<256, 4>(const float *, const float *, const float *, const float *, float *, float *, float *, unsigned int, unsigned int, unsigned int)",6.0,0.8596816666666668,3.123828357698972,219296.0,1273.96912544,5494.43066297,24870528.0,24871552.0,226.8262075003648,86.01,68.32,40.88,25.33,72.36,1.53,52.28,48.0,13960.0,5.75,2.59,
1080p,"void unnamed>::PairedMaltaScaleResponseKernel<64, 0, 0>(const float *, const float *, float *, CudaButteraugliMaltaParams)",4.0,0.7254270000000002,2.6359866935712546,176672.0,1280.6047364600001,5492.72474793,16711296.0,8327168.0,141.72287629052707,53.75,79.41,22.49,34.98,78.68,2.24,68.12,48.0,11520.0,3.57,2.74,
1080p,"unnamed>::MaskPrecomputeKernel(const float *, const float *, const float *, const float *, float *, unnamed>::PlaneParams)",7.0,0.6804018333333334,2.4723785838522043,167168.0,1281.97581674,5493.61919347,33135232.0,8690304.0,250.20061255742726,94.88,12.22,26.59,7.89,87.59,0.33,22.47,18.0,0.0,40.23,0.03,
1080p,"void unnamed>::EncodeResidentCoefficientsShapeKernel<32, 32, 256, 0>(const CudaAqAnchor *, const float *, const int *, const signed char *, const signed char *, const float *, int *, float *, float *, int *, float *, const unsigned char *, const unsigned int *, const float *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",2.0,0.6712443333333332,2.4391029432345,337184.0,1276.61356015,5494.79611528,25001856.0,48983552.0,219.42146721078106,83.19,27.62,25.68,12.4,78.21,0.62,36.14,48.0,256.0,15.97,0.1,
1080p,"unnamed>::Symmetric5ConvolutionKernel(const float *, float *, unsigned int, unsigned int, unsigned int, unsigned int, float, float, float, float, float, float)",4.0,0.6606093333333334,2.400458505563818,168320.0,1275.61391001,5493.53612167,8313472.0,6930816.0,90.56730038022813,34.35,54.92,32.43,22.13,91.93,3.15,74.9,36.0,0.0,3.89,0.0,
1080p,"void unnamed>::ConvolutionFrequencyKernel<0>(const float *, const float *, float *, float *, CudaButteraugliFrequencyParams)",6.0,0.629899,2.2888662571062826,164480.0,1277.15426394,5494.16342412,16607488.0,16581248.0,201.77976653696498,76.51,45.16,39.68,10.02,89.89,0.46,30.64,39.0,10048.0,26.55,0.87,
1080p,"void unnamed>::ConvolutionFrequencyKernel<1>(const float *, const float *, float *, float *, CudaButteraugliFrequencyParams)",6.0,0.6284208333333333,2.283495037584244,164416.0,1276.86680939,5494.22602829,16582016.0,16590848.0,201.76177500973142,76.51,45.32,40.02,9.8,89.82,0.47,30.81,39.0,10048.0,26.51,0.81,
1080p,"void unnamed>::ConvolutionTiledKernel<1, 7>(const float *, const float *, float *, unsigned int, unsigned int, unsigned int, unsigned int)",12.0,0.6218935,2.259776643023288,80736.0,1275.8083960899999,5491.8747522799995,8289536.0,8281472.0,205.24930638129212,77.86,59.95,24.92,19.15,94.07,1.56,54.12,31.0,4224.0,8.48,1.36,
1080p,"void unnamed>::ConvolutionFrequencyKernel<4>(const float *, const float *, float *, float *, CudaButteraugliFrequencyParams)",6.0,0.6199033333333334,2.252544967263601,161344.0,1281.3594968900002,5494.1160915,16573696.0,16597632.0,205.59381197937327,77.96,29.43,38.56,11.31,89.73,0.48,32.65,31.0,8992.0,24.59,0.5,
1080p,"void unnamed>::ConvolutionFrequencyKernel<3>(const float *, const float *, float *, float *, CudaButteraugliFrequencyParams)",6.0,0.6195206666666667,2.251154470023484,162304.0,1281.35884924,5493.16508938,16585600.0,16597376.0,204.4495268138801,77.54,29.13,38.06,8.31,88.99,0.39,27.29,31.0,8992.0,30.64,0.62,
1080p,"void unnamed>::InverseDctFactoredKernel<32, 32, unnamed>::AcStrategyResidualDctSource, unnamed>::AcStrategyDctLossOutput<32, 32>>(T3, T4, unsigned long long)",1.0,0.5561211666666668,2.020779479322737,577056.0,1281.82879998,5495.11081536,63747072.0,1613312.0,113.26523595630233,42.94,38.92,35.06,21.2,40.53,1.56,63.78,89.0,8448.0,1.99,0.07,
1080p,"void unnamed>::SelectAdjustedQuantizationCooperativeKernel<32, 32, 1>(const CudaAqAnchor *, const float *, int *, const float *, float *, const unsigned int *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",3.0,0.5395765,1.9606610646746672,172896.0,1278.40821457,5494.231599729999,24480256.0,463360.0,144.26947991856377,54.7,18.06,16.37,8.1,92.27,0.31,24.41,40.0,12.0,37.09,0.0,
1080p,"void unnamed>::InverseDctFactoredKernel<16, 16, unnamed>::AcStrategyResidualDctSource, unnamed>::AcStrategyDctLossOutput<16, 16>>(T3, T4, unsigned long long)",1.0,0.5161573333333335,1.8755627547029394,531872.0,1274.17561619,5495.05645469,85157632.0,2265600.0,164.36893087058542,62.32,62.64,32.97,23.7,65.17,2.0,70.39,43.0,4352.0,3.78,0.16,
1080p,"void unnamed>::EpfTiledKernel<1>(const float *, const float *, const float *, const float *, float *, float *, float *, unsigned int *, CudaAqEpfParams, unsigned int)",2.0,0.5142798333333333,1.8687404762142972,255456.0,1275.64564282,5494.34214372,25019904.0,24684416.0,194.57096329700613,73.78,68.48,28.69,32.69,96.75,3.45,72.26,40.0,15552.0,3.51,2.18,
1080p,"unnamed>::GaborishKernel(const float *, const float *, const float *, float *, float *, float *, unsigned int *, CudaAqGaborishParams)",2.0,0.4734093333333333,1.7202291936736638,230048.0,1274.37607224,5494.320025970001,24873728.0,24914176.0,216.42398108220894,82.06,45.88,49.37,25.85,91.13,2.46,75.5,40.0,0.0,5.52,0.09,
1080p,"void unnamed>::EpfTiledKernel<2>(const float *, const float *, const float *, const float *, float *, float *, float *, unsigned int *, CudaAqEpfParams, unsigned int)",2.0,0.43018699999999993,1.5631720459085985,212800.0,1275.5075187999998,5493.73433584,25021952.0,24734592.0,233.81834586466167,88.67,42.13,32.98,21.92,96.97,1.95,57.46,38.0,13872.0,8.55,1.91,
1080p,"void unnamed>::ForwardDctFactoredKernel<16, 16, unnamed>::AcStrategyDctSource<16, 16>>(T3, float *, unsigned long long)",1.0,0.42438966666666667,1.5421062549677271,424832.0,1276.0683438800002,5494.8277593699995,25465728.0,75134720.0,236.80054233202773,89.78,31.56,37.15,12.92,64.76,0.84,26.81,44.0,4352.0,8.69,9.38,
1080p,"void unnamed>::PairedMaltaScaleResponseKernel<24, 1, 0>(const float *, const float *, float *, CudaButteraugliMaltaParams)",8.0,0.4237978333333334,1.539955708060211,57120.0,1271.67366947,5491.69000934,6261888.0,2120832.0,146.7563025210084,55.67,66.33,24.04,27.8,85.07,1.55,58.25,40.0,5120.0,7.44,2.26,
1080p,"unnamed>::SuppressXKernel(float *, const float *, unnamed>::PlaneParams)",6.0,0.40570616666666665,1.4742159539597157,103488.0,1278.2512626300002,5493.300350439999,16570880.0,8180224.0,239.16883116883116,90.7,13.27,25.82,10.78,82.45,0.4,27.43,16.0,0.0,28.55,0.09,
1080p,"unnamed>::OpsinToLinearKernel(const float *, const float *, const float *, float *, float *, float *, unsigned int *, CudaAqColorParams)",2.0,0.40519466666666676,1.4723573145738624,203520.0,1277.30116614,5494.33962264,24865664.0,24744320.0,243.75974842767295,92.43,11.79,40.8,9.05,84.25,0.37,22.62,20.0,0.0,38.2,0.08,
1080p,"void unnamed>::InverseDctFactoredKernel<32, 32, const float *, unnamed>::AqDctImageOutput>(T3, T4, unsigned long long)",2.0,0.3918928333333333,1.424022395048163,196032.0,1278.21648166,5494.39547285,24391680.0,24022400.0,246.97029056480574,93.64,20.99,38.01,9.19,39.98,0.27,13.17,64.0,8448.0,15.72,9.49,
1080p,"void unnamed>::ConvolutionTiledKernel<1, 13>(const float *, const float *, float *, unsigned int, unsigned int, unsigned int, unsigned int)",7.0,0.391241,1.4216538259252978,91264.0,1280.0593150999998,5492.28611501,8290432.0,7817600.0,176.4992987377279,66.95,72.58,22.27,19.19,92.08,1.55,53.55,39.0,4344.0,6.63,3.08,
1080p,"unnamed>::SubsampleKernel(const float *, float *, unnamed>::SubsampleParams)",9.0,0.38752433333333336,1.4081485609189317,44672.0,1276.25805874,5489.9713467,8287104.0,2371968.0,238.60744985673352,90.55,11.8,25.28,6.88,82.53,0.31,20.92,22.0,0.0,41.0,0.05,
1080p,"void unnamed>::InverseDctFactoredKernel<8, 16, unnamed>::AcStrategyResidualDctSource, unnamed>::AcStrategyDctLossOutput<8, 16>>(T3, T4, unsigned long long)",1.0,0.36145466666666665,1.3134191195841434,370752.0,1281.9872403499999,5494.90764716,52607488.0,2358784.0,148.2561712411531,56.21,78.35,23.37,22.2,64.6,1.74,65.88,46.0,2304.0,3.99,0.61,
1080p,"unnamed>::ModulationKernel(const float *, const float *, const float *, float *, unsigned int *, CudaAqGeometry, float, float)",1.0,0.3555716666666666,1.2920420413691336,367200.0,1279.56427015,5494.14669572,55661184.0,1465088.0,155.57263616557734,58.99,3.8,29.19,3.77,63.1,0.08,7.05,45.0,0.0,104.66,0.02,
1080p,"void unnamed>::ConvolutionTiledKernel<0, 13>(const float *, const float *, float *, unsigned int, unsigned int, unsigned int, unsigned int)",7.0,0.354206,1.2870796135008755,84352.0,1272.35078402,5493.171471930001,8290560.0,8316288.0,196.87556904400606,74.67,71.89,27.7,16.55,91.39,1.47,52.11,39.0,9784.0,8.55,3.49,
1080p,"unnamed>::SelectionHistogramKernel(const float *, const float *, unsigned int *, const unsigned int *, unsigned int, unsigned int, bool)",32.0,0.35224516666666666,1.2799545263798038,28864.0,1278.6054139,5487.06577975,132480.0,25344.0,5.467849223946785,2.08,1.3,4.45,0.27,34.9,0.03,1.31,16.0,0.0,16.25,0.0,
1080p,"void unnamed>::ForwardDctFactoredKernel<16, 8, unnamed>::AcStrategyDctSource<16, 8>>(T3, float *, unsigned long long)",1.0,0.3442596666666667,1.2509375863685923,351616.0,1267.13422218,5494.478825390001,25539712.0,42519040.0,193.55988350928286,73.39,44.19,25.72,12.09,64.25,0.77,27.19,30.0,2176.0,20.06,2.36,
1080p,"void unnamed>::ConvolutionTiledKernel<0, 15>(const float *, const float *, float *, unsigned int, unsigned int, unsigned int, unsigned int)",6.0,0.34232883333333336,1.2439215103551953,90528.0,1273.1051902899999,5491.6931778,8290816.0,8306816.0,183.3425238600212,69.55,76.3,26.36,16.73,92.49,1.54,51.34,39.0,10048.0,7.89,4.45,
1080p,"void unnamed>::InverseDctFactoredKernel<16, 8, unnamed>::AcStrategyResidualDctSource, unnamed>::AcStrategyDctLossOutput<16, 8>>(T3, T4, unsigned long long)",1.0,0.335998,1.2209171385495083,344704.0,1276.47102055,5494.73944795,52653824.0,2359552.0,159.5959896026736,60.51,74.41,23.42,23.12,64.7,1.84,67.53,40.0,2176.0,3.93,0.41,
1080p,"unnamed>::PrefetchedInitialCflKernel(const float *, const float *, const float *, signed char *, signed char *, unsigned int *, CudaAqGeometry)",1.0,0.326323,1.1857610563244163,333504.0,1281.6208101500001,5495.04253822,49694592.0,1400832.0,153.2078295912493,58.09,6.4,16.04,1.57,4.41,0.08,8.17,48.0,0.0,9.11,0.0,
1080p,"void unnamed>::ForwardDctFactoredKernel<32, 32, unnamed>::AcStrategyDctSource<32, 32>>(T3, float *, unsigned long long)",1.0,0.32015783333333336,1.1633586680799999,320832.0,1280.64324423,5495.04621318,24860672.0,53859328.0,245.36205864751645,93.02,29.59,36.8,15.54,40.37,0.61,25.93,54.0,8448.0,7.99,3.83,
1080p,"void unnamed>::ForwardDctFactoredKernel<32, 16, unnamed>::AcStrategyDctSource<32, 16>>(T3, float *, unsigned long long)",1.0,0.2951066666666667,1.0723301538507677,297216.0,1269.10507285,5494.688486939999,24852480.0,35486848.0,203.01507321274764,76.97,43.11,26.96,15.12,65.37,0.94,28.0,40.0,4224.0,19.52,2.19,
1080p,"void unnamed>::InverseDctFactoredKernel<16, 32, unnamed>::AcStrategyResidualDctSource, unnamed>::AcStrategyDctLossOutput<16, 32>>(T3, T4, unsigned long long)",1.0,0.287885,1.0460887577644071,297888.0,1275.4995165999999,5493.75156658,45316480.0,1618688.0,157.55978085723493,59.75,75.75,39.41,24.59,64.34,2.41,69.2,64.0,4352.0,2.67,0.74,
1080p,"unnamed>::SelectionBucketKernel(unsigned int *, unsigned int *, float *, unsigned int, bool)",32.0,0.283773,1.031146968605794,6080.0,1267.65350877,5417.54385965,27392.0,5888.0,5.473684210526316,2.1,2.82,1.65,0.51,16.65,0.02,2.29,16.0,0.0,5.84,0.0,
1080p,"void unnamed>::InverseDctFactoredKernel<32, 16, unnamed>::AcStrategyResidualDctSource, unnamed>::AcStrategyDctLossOutput<32, 16>>(T3, T4, unsigned long long)",1.0,0.2774416666666667,1.0081407799483129,286048.0,1274.41897863,5494.425178060001,45504000.0,1701120.0,165.02517060073833,62.57,68.28,38.8,24.63,64.12,2.49,69.98,64.0,4224.0,2.75,0.41,
1080p,"void unnamed>::ForwardDctFactoredKernel<8, 16, unnamed>::AcStrategyDctSource<8, 16>>(T3, float *, unsigned long long)",1.0,0.2760656666666667,1.003140803809633,277408.0,1281.08057446,5495.135924939999,25568512.0,42482816.0,245.311339254816,93.0,42.8,34.04,18.27,64.22,0.96,43.47,40.0,2304.0,11.3,0.58,
1080p,"void unnamed>::EncodeResidentCoefficientsShapeKernel<32, 32, 256, 1>(const CudaAqAnchor *, const float *, const int *, const signed char *, const signed char *, const float *, int *, float *, float *, int *, float *, const unsigned char *, const unsigned int *, const float *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",1.0,0.2507371666666666,0.9111045424516747,238464.0,1276.6399400599998,5494.363929149999,24704128.0,23823872.0,203.5024154589372,77.16,32.47,24.18,16.83,76.84,0.85,47.95,45.0,128.0,10.68,0.1,
1080p,"void unnamed>::ForwardDctFactoredKernel<16, 32, unnamed>::AcStrategyDctSource<16, 32>>(T3, float *, unsigned long long)",1.0,0.24545683333333332,0.891917376266397,246880.0,1274.71511126,5494.40483906,24858624.0,35505664.0,244.50861957226184,92.71,38.75,32.4,19.23,64.1,1.54,41.86,52.0,4352.0,5.94,3.87,
1080p,"void unnamed>::PairedMaltaScaleResponseKernel<24, 0, 0>(const float *, const float *, float *, CudaButteraugliMaltaParams)",4.0,0.21554666666666666,0.7832326962974523,50944.0,1278.74398032,5494.13735343,3998976.0,2363776.0,124.89698492462311,47.36,72.2,21.88,32.61,73.85,1.95,66.12,48.0,5120.0,3.11,2.51,
1080p,"unnamed>::PackAcGroupsKernel(const CudaAqAnchor *, const unsigned long long *, const int *, int *, CudaAqExactBatch, unsigned int, unsigned int)",4.0,0.20998966666666666,0.7630402054525078,4064.0,1270.4232283499998,5459.3175853,41088.0,0.0,10.11023622047244,3.86,2.09,2.76,0.24,6.55,0.02,2.11,28.0,0.0,31.66,0.0,
1080p,"unnamed>::ReduceMaximumKernel(const float *, float *, unnamed>::ReductionParams)",6.0,0.20168,0.7328453398611446,80608.0,1278.92186053,5492.12650523,8287232.0,1463552.0,120.96546248511314,45.89,33.03,11.43,8.92,88.55,0.94,49.72,16.0,1024.0,5.79,0.1,
1080p,"unnamed>::LinearRgbToOpsinKernel(const float *, const float *, const float *, float *, float *, float *, unsigned int *, CudaLinearRgbToOpsinParams)",1.0,0.20083733333333334,0.7297833389700151,200352.0,1276.22883725,5493.4781451300005,24853632.0,23618944.0,241.93707075547036,91.75,12.02,37.48,24.03,83.2,1.3,44.03,20.0,0.0,16.81,0.03,
1080p,"void unnamed>::ForwardDctFactoredKernel<8, 8, unnamed>::AcStrategyDctSource<8, 8>>(T3, float *, unsigned long long)",1.0,0.19961600000000002,0.725345375653125,200864.0,1281.41263077,5493.06993787,25536000.0,23736192.0,245.3012585630078,93.03,23.64,45.37,7.43,64.23,0.26,18.97,38.0,2304.0,32.76,0.91,
1080p,"void unnamed>::ForwardDctFactoredKernel<32, 32, unnamed>::AqDctImageSource<32>>(T3, float *, unsigned long long)",1.0,0.1938236666666667,0.704297753230199,196384.0,1276.11380425,5493.23773831,24389248.0,23427712.0,243.4870457878442,92.34,21.54,38.97,11.66,40.15,0.25,15.95,48.0,8448.0,20.94,2.42,
1080p,"void unnamed>::InverseDctFactoredKernel<8, 8, unnamed>::AcStrategyResidualDctSource, unnamed>::AcStrategyDctLossOutput<8, 8>>(T3, T4, unsigned long long)",1.0,0.19230366666666668,0.6987745237746806,195296.0,1281.4496968699998,5494.128570649999,34102400.0,2466432.0,187.2482385711945,71.0,62.69,22.81,21.22,64.24,1.4,62.33,40.0,2304.0,5.57,0.15,
1080p,"unnamed>::OpsinMatrixScaleStatsKernel(const float *, const float *, const float *, unsigned int *, unsigned int *, CudaLinearRgbToOpsinParams)",1.0,0.18395149999999996,0.668425225780778,193600.0,1277.34331956,5494.65564738,24865408.0,1387264.0,135.60264462809917,51.41,24.66,31.59,7.27,84.74,0.39,23.45,22.0,0.0,18.48,6.06,
1080p,"unnamed>::ReduceButteraugliKernel(const float *, unsigned int, const CudaAqAnchor *, float *, unsigned int, unsigned int *, unsigned int, unsigned int, CudaAqExactBatch)",8.0,0.16491666666666666,0.5992582835784431,4160.0,1259.85576923,5415.3846153800005,10368.0,0.0,2.4923076923076923,0.96,21.01,1.84,2.57,21.91,0.14,11.29,27.0,1024.0,4.65,0.29,
1080p,"unnamed>::ComposeKernel(const float *, const float *, float *, unnamed>::ComposeParams)",2.0,0.15416933333333335,0.5602056598712454,74176.0,1275.32714984,5489.79004889,10375936.0,7035136.0,234.72648835202762,89.08,18.53,30.23,12.16,81.93,0.72,38.49,16.0,0.0,17.98,0.03,
1080p,"void unnamed>::CooperativeFinalCflKernel<2>(const CudaAqColorTransformRecord *, const unsigned int *, const float *, const float *, const int *, const unsigned int *, signed char *, signed char *, unsigned int *, unsigned int)",1.0,0.15306,0.5561746713563407,159136.0,1276.05528186,5493.12956632,24948992.0,1436544.0,165.80494671224614,62.88,85.05,17.18,21.01,33.85,0.82,53.32,40.0,0.0,2.63,0.27,
1080p,"void unnamed>::CoefficientOrderPopulationKernel<0>(const int *, unnamed>::PopulationBatches, const unsigned char *, unsigned int *)",1.0,0.10824300000000002,0.39332297760110013,107424.0,1281.20655844,5492.2053420699995,24928512.0,1432448.0,245.39171879654452,93.08,12.94,25.29,5.72,94.89,0.27,17.51,30.0,3072.0,56.2,0.03,
1080p,"unnamed>::InitialGradientKernel(const float *, float *, float *, unsigned int *, CudaAqGeometry)",1.0,0.09502116666666667,0.3452787543625337,97376.0,1271.01818381,5491.07240662,11297408.0,8919936.0,207.62142622412094,78.77,23.27,59.79,24.89,71.75,1.19,57.03,48.0,0.0,8.25,0.08,
1080p,"unnamed>::FinalizeCostKernel(const float *, const AcStrategyCandidateDevice *, const AcStrategyChannelRateDevice *, float *, CudaAcStrategyBatchParams)",7.0,0.050604166666666665,0.18388054204295584,10976.0,1274.9635568499998,5473.2750243,1970304.0,44672.0,183.5801749271137,69.88,7.35,25.18,6.22,64.7,0.19,14.53,22.0,0.0,42.72,0.02,
1080p,"void unnamed>::SelectAdjustedQuantizationCooperativeKernel<32, 16, 1>(const CudaAqAnchor *, const float *, int *, const float *, float *, const unsigned int *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",3.0,0.03953216666666667,0.14364817590381168,13248.0,1274.12942834,5475.04025765,430848.0,41344.0,35.64251207729468,13.56,5.49,6.07,2.17,12.59,0.07,6.69,40.0,12.0,14.35,0.0,
1080p,"unnamed>::PrepareQuantNormsKernel(const AcStrategyCandidateDevice *, const float *, float *, CudaAcStrategyBatchParams)",7.0,0.03705683333333333,0.13465354828611886,6432.0,1258.8619403,5492.537313430001,917632.0,0.0,142.66666666666666,54.11,7.57,18.44,0.68,64.41,0.15,8.27,35.0,0.0,75.71,0.03,
1080p,"void unnamed>::EncodeResidentCoefficientsShapeKernel<32, 16, 256, 0>(const CudaAqAnchor *, const float *, const int *, const signed char *, const signed char *, const float *, int *, float *, float *, int *, float *, const unsigned char *, const unsigned int *, const float *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",2.0,0.02085366666666667,0.07577604341374632,10720.0,1264.39676617,5460.69651741,35584.0,635520.0,62.602985074626865,23.88,15.87,16.67,7.31,34.21,0.28,21.43,47.0,256.0,8.05,0.05,
1080p,"void unnamed>::SelectAdjustedQuantizationCooperativeKernel<16, 8, 1>(const CudaAqAnchor *, const float *, int *, const float *, float *, const unsigned int *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",3.0,0.020656499999999998,0.07505959818941754,6496.0,1261.95607553,5464.696223319999,180480.0,50432.0,35.54679802955665,13.55,11.95,5.26,3.71,18.65,0.14,12.23,41.0,12.0,9.97,0.01,
1080p,"void unnamed>::EncodeResidentCoefficientsShapeKernel<16, 8, 128, 0>(const CudaAqAnchor *, const float *, const int *, const signed char *, const signed char *, const float *, int *, float *, float *, int *, float *, const unsigned char *, const unsigned int *, const float *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",2.0,0.015078,0.05478898271730631,8288.0,1265.52445302,5456.885456890001,25600.0,238464.0,31.861003861003862,12.16,12.33,8.88,5.61,26.41,0.21,17.45,44.0,256.0,6.25,0.02,
1080p,"void unnamed>::SelectAdjustedQuantizationCooperativeKernel<8, 8, 1>(const CudaAqAnchor *, const float *, int *, const float *, float *, const unsigned int *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",3.0,0.013552333333333333,0.04924516227478274,4832.0,1257.31236203,5439.29359823,27392.0,0.0,5.66887417218543,2.17,8.16,3.56,2.09,10.05,0.09,8.25,39.0,12.0,5.1,0.0,
1080p,"void unnamed>::EncodeResidentCoefficientsShapeKernel<8, 8, 64, 0>(const CudaAqAnchor *, const float *, const int *, const signed char *, const signed char *, const float *, int *, float *, float *, int *, float *, const unsigned char *, const unsigned int *, const float *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",2.0,0.013461500000000001,0.04891510086543434,7232.0,1269.26622419,5451.32743363,22272.0,0.0,3.079646017699115,1.18,3.87,4.04,1.64,6.57,0.06,6.25,46.0,256.0,6.25,0.0,
1080p,"unnamed>::AdjustQuantFieldKernel(const CudaAqAnchor *, float *, unsigned int *, unsigned int, CudaAqExactBatch, float)",4.0,0.011669833333333332,0.04240471526819506,2848.0,1250.2340824,5393.25842697,9984.0,0.0,3.50561797752809,1.35,1.71,1.48,0.93,7.85,0.05,5.24,36.0,0.0,4.62,0.0,
1080p,"unnamed>::SelectionInitializeKernel(unsigned int *, unsigned int *, unsigned int)",8.0,0.0112535,0.040891883340576106,2048.0,1243.32682292,5333.33333333,2560.0,2304.0,2.375,0.93,12.21,0.92,1.22,16.32,0.06,5.58,16.0,0.0,0.64,0.0,
1080p,"void unnamed>::EncodeResidentCoefficientsShapeKernel<32, 16, 256, 1>(const CudaAqAnchor *, const float *, const int *, const signed char *, const signed char *, const float *, int *, float *, float *, int *, float *, const unsigned char *, const unsigned int *, const float *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",1.0,0.010533500000000001,0.03827561675638322,9568.0,1272.47073579,5476.03121516,29952.0,193280.0,23.331103678929765,8.88,15.4,14.08,8.02,32.18,0.31,23.77,42.0,128.0,6.91,0.04,
1080p,"void unnamed>::ForwardDctFactoredKernel<32, 16, unnamed>::AqDctImageSource<32>>(T3, float *, unsigned long long)",1.0,0.010064499999999999,0.036571409773068664,10784.0,1266.38229476,5459.94065282,382336.0,217600.0,55.632047477744806,21.23,13.93,8.03,5.0,12.25,0.1,8.08,40.0,4224.0,14.11,0.21,
1080p,"unnamed>::ResidentPolicyUpdateKernel(float *, const float *, const float *, const float *, float *, const unsigned int *, unsigned int *, CudaAqResidentPolicyParams)",2.0,0.009264166666666665,0.033663235667213506,4800.0,1252.5,5440.0,345728.0,1920.0,72.42666666666666,27.74,10.76,12.83,12.38,56.12,0.56,31.86,19.0,0.0,10.34,0.2,
1080p,"unnamed>::FuzzyErosionKernel(const float *, float *, float *, unsigned int *, CudaAqGeometry, float, float, float, float)",1.0,0.008976833333333333,0.03261915150259578,9920.0,1257.39247312,5453.76344086,379648.0,284672.0,66.96774193548387,25.58,19.84,11.58,25.63,60.93,2.07,67.35,40.0,0.0,1.87,0.04,
1080p,"unnamed>::RawQuantKernel(const float *, const unsigned int *, int *, unsigned int *, unsigned int)",4.0,0.008879833333333335,0.03226668225444758,2976.0,1242.9435483900002,5390.68100358,4736.0,39168.0,14.75268817204301,5.7,16.47,10.85,6.69,63.44,0.58,25.2,16.0,0.0,15.46,0.75,
1080p,"void unnamed>::InverseDctFactoredKernel<32, 16, const float *, unnamed>::AqDctImageOutput>(T3, T4, unsigned long long)",2.0,0.008005333333333333,0.029089008465729944,4608.0,1241.24710648,5407.40740741,11776.0,218368.0,49.94444444444444,19.24,43.64,19.04,13.1,11.13,0.31,24.4,40.0,4224.0,1.25,0.36,
1080p,"void unnamed>::EncodeResidentCoefficientsShapeKernel<16, 8, 128, 1>(const CudaAqAnchor *, const float *, const int *, const signed char *, const signed char *, const float *, int *, float *, float *, int *, float *, const unsigned char *, const unsigned int *, const float *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",1.0,0.007898666666666667,0.028701413416219883,7456.0,1267.12267525,5447.78254649,22656.0,77440.0,13.42489270386266,5.13,10.92,7.45,5.48,24.3,0.21,17.46,40.0,128.0,5.73,0.02,
1080p,"void unnamed>::EncodeResidentCoefficientsShapeKernel<8, 8, 64, 1>(const CudaAqAnchor *, const float *, const int *, const signed char *, const signed char *, const float *, int *, float *, float *, int *, float *, const unsigned char *, const unsigned int *, const float *, unsigned int *, CudaAqExactBatch, CudaAqResidentParams)",1.0,0.007653666666666666,0.02781115603687647,7136.0,1270.13266069,5452.91479821,21248.0,0.0,2.977578475336323,1.14,3.26,3.42,1.61,6.53,0.06,6.18,40.0,128.0,6.51,0.0,
1080p,"unnamed>::FinalizeQuantizerKernel(const float *, unsigned int *, unsigned int *, unsigned int, float)",4.0,0.007008166666666667,0.025465600370075753,2144.0,1253.57587065,5333.33333333,5120.0,0.0,2.388059701492537,0.93,0.8,1.21,0.57,2.08,0.06,6.09,17.0,0.0,3.42,0.0,
1080p,"void unnamed>::ForwardDctFactoredKernel<16, 8, unnamed>::AqDctImageSource<16>>(T3, float *, unsigned long long)",1.0,0.00664,0.02412779183200119,7072.0,1263.4332579200002,5453.99698341,156544.0,191616.0,49.23076923076923,18.81,9.41,5.27,2.67,9.47,0.06,5.7,30.0,2176.0,15.09,0.12,
